,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr
DCG@3,0.05007714306460476,0.048427730706073036,0.04826975809740432,0.05650988684618077,0.052899264979793276,0.05469821615400706,0.04961142914471313,0.052753812791588875,0.05102687813911498,0.05132177952749529
Recall@3,0.0555268959435626,0.05412125220458554,0.05436375661375661,0.06239770723104056,0.05799882422104645,0.06084347442680776,0.05541137566137566,0.05805776014109346,0.05605467372134039,0.05698427395649617
MAP@3,0.03748941798941798,0.03793569958847736,0.03634582598471488,0.04282987948265726,0.04058095728003135,0.042072898295120516,0.037794606114050555,0.04012404467960023,0.04025455614344503,0.03899265138154027
DCG@5,0.06192461890451935,0.06204321464224978,0.06154154311674242,0.06850621479456573,0.06518217605348114,0.06639267336545494,0.06271492277717275,0.06622902993185231,0.06401433634304288,0.06520552153286038
Recall@5,0.08100235155790712,0.08322148736037624,0.08278600823045267,0.08828982951205172,0.08446325690770136,0.08598251028806585,0.08379659024103468,0.08712066431510876,0.08369473838918284,0.08697516166960612
MAP@5,0.044455173427395654,0.045919378306878304,0.04407582304526749,0.05001188271604938,0.04793796051342347,0.0489922251616696,0.04547846119929452,0.048068716931216934,0.04797752057613169,0.046980717225161665
DCG@8,0.07892172605762102,0.07750563871711266,0.07824682060595202,0.08405666889003008,0.08156152580970083,0.08197663683636666,0.07943262901989864,0.08108118744385338,0.07936937916139652,0.08106595166069079
Recall@8,0.12867166372721928,0.1265567313345091,0.12954923574368019,0.13187022339800117,0.13002763080540858,0.12949368018812463,0.13051219870664316,0.12851352145796588,0.12688697824808937,0.13134068195179305
MAP@8,0.0535848319265978,0.05440911911060721,0.053067233910024915,0.05860813649533888,0.056779349332325514,0.05775248698244729,0.054610175561994344,0.0562525776154083,0.05623226130987374,0.05574436815878614
