,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr
DCG@3,0.051899310140648254,0.050842321277557764,0.05405894400393997,0.057735889978155625,0.05305978601963461,0.056933934910845425,0.04739570463844846,0.05408080048237239,0.04607756492995949,0.05735401215463108
Recall@3,0.056918646103043265,0.05649180081804195,0.060718038200307696,0.06346673421141506,0.058124132237607415,0.0629507673833915,0.05363897331982439,0.058728282487147725,0.05014822319786858,0.06373785132650381
MAP@3,0.03845625852127034,0.040929772224098465,0.04043428771561158,0.044769816253267786,0.040638954557394275,0.04343314946151825,0.035908476865923675,0.040196473913967995,0.03728892266126308,0.043966158830225026
DCG@5,0.06397831137675897,0.06632297299481618,0.06754463886754578,0.07000015064160381,0.06646326329747657,0.06877860547040725,0.06229281939732031,0.07009395051114378,0.05920971856546425,0.07108307001820012
Recall@5,0.08314758527524484,0.08934012533303312,0.08957371758790199,0.08987954519869414,0.08745543922848886,0.08847705354797554,0.08545536417876842,0.09328023565612219,0.0780582761079215,0.0936310930991782
MAP@5,0.04549348318260848,0.04996693121693122,0.04836530764131237,0.051887906988379806,0.048713835415963073,0.05040081241322376,0.04463713460167361,0.04946511438828224,0.04499629442005328,0.05214695360676448
DCG@8,0.08092578190667923,0.08117543183305796,0.0839117374421564,0.0855354075237096,0.08332107277649187,0.08449041811301844,0.07984409214450337,0.08449255926810985,0.07566180210418745,0.08607309584666624
Recall@8,0.13043641412435739,0.13106026492551315,0.13534841832714173,0.13350031896131184,0.1344853465420841,0.1325940935870014,0.13452099515929303,0.1334111974182896,0.12411253705579949,0.13537468572929567
MAP@8,0.05466315183809274,0.058199181958047214,0.05711366481186644,0.060472159904150787,0.05761213567381246,0.05929705773825159,0.053937157473969356,0.05764223373878051,0.05373707960988441,0.06036833218971854
