,ip,ip,ip,ip,ip,ip,ip,ip,ip,ip
DCG@3,0.08544580748294522,0.08544580748294522,0.08544580748294522,0.08544580748294522,0.08544580748294522,0.08544580748294522,0.08544580748294522,0.08544580748294522,0.08544580748294522,0.08544580748294522
Recall@3,0.09690476190476188,0.09690476190476188,0.09690476190476188,0.09690476190476188,0.09690476190476188,0.09690476190476188,0.09690476190476188,0.09690476190476188,0.09690476190476188,0.09690476190476188
MAP@3,0.06943486590038314,0.06943486590038314,0.06943486590038314,0.06943486590038314,0.06943486590038314,0.06943486590038314,0.06943486590038314,0.06943486590038314,0.06943486590038314,0.06943486590038314
DCG@5,0.11092226104948053,0.11092226104948053,0.11092226104948053,0.11092226104948053,0.11092226104948053,0.11092226104948053,0.11092226104948053,0.11092226104948053,0.11092226104948053,0.11092226104948053
Recall@5,0.15264504652435684,0.15264504652435684,0.15264504652435684,0.15264504652435684,0.15264504652435684,0.15264504652435684,0.15264504652435684,0.15264504652435684,0.15264504652435684,0.15264504652435684
MAP@5,0.08531547619047618,0.08531547619047618,0.08531547619047618,0.08531547619047618,0.08531547619047618,0.08531547619047618,0.08531547619047618,0.08531547619047618,0.08531547619047618,0.08531547619047618
DCG@8,0.1343302258766581,0.1343302258766581,0.1343302258766581,0.1343302258766581,0.1343302258766581,0.1343302258766581,0.1343302258766581,0.1343302258766581,0.1343302258766581,0.1343302258766581
Recall@8,0.21779146141215108,0.21779146141215108,0.21779146141215108,0.21779146141215108,0.21779146141215108,0.21779146141215108,0.21779146141215108,0.21779146141215108,0.21779146141215108,0.21779146141215108
MAP@8,0.10289484126984128,0.10289484126984128,0.10289484126984128,0.10289484126984128,0.10289484126984128,0.10289484126984128,0.10289484126984128,0.10289484126984128,0.10289484126984128,0.10289484126984128
