,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr
DCG@3,0.09943515981891238,0.10724862501120194,0.11765891224077894,0.10970099603232834,0.10613109780644597,0.10429612541844623,0.09567177354669595,0.0977022703275184,0.09765997330083516,0.11773446758471759
Recall@3,0.10712917350848385,0.11872879036672142,0.12717706622879035,0.11927066228790369,0.11863847837985769,0.11303503010399563,0.10276683087027914,0.1054584017515052,0.10342227695675972,0.13359469074986316
MAP@3,0.08391374749133369,0.09322089947089947,0.09320379492793286,0.09008803138113483,0.09005450647692026,0.08556650246305418,0.08336822660098522,0.08437283342455756,0.0868913063309615,0.09766374749133369
DCG@5,0.12158928274949639,0.1215447642083551,0.13129103510750423,0.12473574404519357,0.13011501655210847,0.12918482297804193,0.12024765393302196,0.12953884418017725,0.11593495331041756,0.13990130497351655
Recall@5,0.1559838533114395,0.15005473453749316,0.15650109469074983,0.1512424740010947,0.16959496442255062,0.16683087027914614,0.15511631089217295,0.17396825396825397,0.1420320197044335,0.1816256157635468
MAP@5,0.09738234355044699,0.10388058748403575,0.1034290275497172,0.10058488414522898,0.10572281517971173,0.10269095511767926,0.09772112753147236,0.10356166757890896,0.09983178252143769,0.11243016785258166
DCG@8,0.14060348225126618,0.1399521768361863,0.14797243286902312,0.14541573934241145,0.1526979585993295,0.1487965556492315,0.1431416080404504,0.14391306537169843,0.13785435842828847,0.15478311830032265
Recall@8,0.20899014778325123,0.2014901477832512,0.20256294471811712,0.2103503010399562,0.23267788724685276,0.2213793103448276,0.21736590038314177,0.21370415982484947,0.2028872468527641,0.22264367816091954
MAP@8,0.10935791826309067,0.11508371289128677,0.11584389579586624,0.11461231983214742,0.12006762973388589,0.11548088526598381,0.113512351109026,0.11359638980113118,0.11378596189433626,0.12243285570933354
