,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf
DCG@3,0.05238673854453568,0.05242257987286722,0.052097683081738067,0.05484776702604184,0.04896714350862556,0.05329639773017538,0.0518419668637954,0.05225914222459157,0.05665118192301058,0.05218613012144259
Recall@3,0.057866108171663724,0.057798941798941794,0.05753718400940624,0.060287918871252205,0.05383774250440917,0.058177248677248675,0.0577958553791887,0.05813492063492064,0.06284656084656084,0.056921663727219275
MAP@3,0.039841318832059575,0.03984002057613169,0.03993045757397609,0.04238447971781305,0.03760368900646678,0.04040975896531452,0.04026646090534979,0.0411113315696649,0.041575470311581424,0.041112850284146574
DCG@5,0.06389668648732547,0.06470092548492659,0.0638992606726121,0.06797057942329288,0.06023586627767134,0.06456122040010875,0.06296666435492651,0.06575379648201964,0.06773970558853579,0.06391711105113908
Recall@5,0.08247736625514403,0.08422251616696061,0.08282260435038213,0.08844988242210465,0.0780570252792475,0.08225631981187535,0.08145517342739564,0.08692798353909463,0.08669988242210465,0.08233847736625513
MAP@5,0.04667592347638644,0.0471468253968254,0.04699762394669802,0.05007479423868313,0.04435090388007055,0.047270774544385656,0.04679226925338037,0.04925047031158143,0.04834863315696648,0.048181317362335885
DCG@8,0.0800573721102949,0.07992433722784183,0.07851118826152367,0.08225955085515747,0.07641501911995506,0.07955250612077584,0.07870332633733113,0.07992088875240289,0.0835265798467145,0.07967279895498287
Recall@8,0.12800161669606114,0.1269888300999412,0.12364006466784244,0.1284723691945914,0.12347692533803645,0.1241086125808348,0.12552219282774837,0.12647339800117577,0.13101557907113462,0.12632701352145795
MAP@8,0.05545210117997817,0.05542290861817978,0.05506194622910893,0.0581254839590157,0.05301865446796002,0.0553783583186361,0.055560787771898885,0.05727395264690238,0.056872739250020996,0.05671813744016125
