,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf
DCG@3,0.034149254047654024,0.03221514252182367,0.03535396217610419,0.03497762587628792,0.02895032828138056,0.03307475442074337,0.03152470691550753,0.03378799548382765,0.034499462106457705,0.03088980731022022
Recall@3,0.03842827748383304,0.03696119929453263,0.03943136390358612,0.03927601410934744,0.033806878306878306,0.0371031746031746,0.03620811287477954,0.03867416225749559,0.03922045855379188,0.03582951205173427
MAP@3,0.025734690378208896,0.022893298059964724,0.025615863217715067,0.026091857730746616,0.020797619047619047,0.0248017342739565,0.022499265138154027,0.023730232216343333,0.02565512933568489,0.021748064863805604
DCG@5,0.04492259360626306,0.043230075026550796,0.04514235223418061,0.04710940460401179,0.04062072759019063,0.04434133503135829,0.04332119777294824,0.04607539727773013,0.04478897574963351,0.041435638534184895
Recall@5,0.06177072310405644,0.06038800705467373,0.06041578483245149,0.06531907701352145,0.05897339800117577,0.06134994121105232,0.06169870664315109,0.06512874779541446,0.06126660787771899,0.05845590828924162
MAP@5,0.03229025328238291,0.02954716343327454,0.031523740936703896,0.033401741622574956,0.02754608318636096,0.03160050705467372,0.029392791005291,0.03113913874191652,0.031725507054673724,0.028143442582794435
DCG@8,0.05450990718892568,0.053521665569718414,0.054582143894046094,0.05556501831124483,0.051174591354392215,0.054067544362084774,0.052727661758264155,0.05395137000615248,0.05425955975039143,0.05158702931979697
Recall@8,0.08817283950617284,0.08846913580246912,0.0862283950617284,0.0887119341563786,0.0881820987654321,0.08800205761316872,0.08762860082304526,0.08679938271604937,0.0873446502057613,0.08613888888888889
MAP@8,0.03747759406231629,0.03519026553008034,0.03681932686654909,0.038047207524985305,0.03329354791299236,0.036950411522633744,0.034679185038212816,0.03563115324319028,0.036993474426807754,0.033590850970017634
