,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf
DCG@3,0.11415590078547048,0.10737876258440919,0.10320224200998987,0.11068291253636484,0.11508135652724615,0.11957536640906798,0.1005954904001932,0.1179074821737973,0.12842830365265648,0.11583082777838959
Recall@3,0.12129994526546249,0.11652572523262178,0.11365216201423098,0.1183648056923919,0.12856595511767926,0.12756431308155444,0.10896825396825396,0.12396825396825399,0.13933223864258346,0.12773672687465792
MAP@3,0.09171547162926473,0.08794631454114213,0.08796683999270205,0.09356549899653349,0.101947409231892,0.09803571428571428,0.09063788542236818,0.09980181536216018,0.10741310892172962,0.09551336434957124
DCG@5,0.14053760560979706,0.12681533063625683,0.13035515542717485,0.14336029683134532,0.14381088494491345,0.1450560746075958,0.12589811146924015,0.1456847552295519,0.14931701792392496,0.13079846810367116
Recall@5,0.17796113847837985,0.15856869184455388,0.17122742200328406,0.186975916803503,0.18841680350301038,0.18080596606458674,0.1644991789819376,0.182907772304324,0.1844417077175698,0.15835385878489325
MAP@5,0.10817448914431674,0.10255578361612844,0.10759163473818646,0.11516798941798942,0.12193988323298667,0.11709674329501915,0.10746280332056195,0.11921731891990513,0.12072598522167485,0.10608048257617222
DCG@8,0.16355816869397202,0.15039355535794766,0.15118460028870692,0.15939040361888845,0.1582856452188948,0.16209493268826677,0.14644232608435567,0.16621840981597888,0.1714895486518132,0.15456860863479796
Recall@8,0.24047482211275317,0.22424329501915707,0.22906130268199235,0.23134099616858236,0.22875068418171868,0.22826217843459218,0.221988232074439,0.2396401204159825,0.24558976464148877,0.2244170771756978
MAP@8,0.1241118099538666,0.11783646916621054,0.12116374749133368,0.1270557445200302,0.13130752827951103,0.12718226600985225,0.11972006542080435,0.13283470169677067,0.13620821930304688,0.12062789636927568
