,bpr,bpr,bpr,bpr,bpr,bpr,bpr,bpr,bpr,bpr
DCG@3,0.09554299491253253,0.09545653120556132,0.09516187766326635,0.09442291340019318,0.09687701338334387,0.09409105988804588,0.09491617059051499,0.0960678853588068,0.09411766337949684,0.09316535743220744
Recall@3,0.1018174603174603,0.10201984126984127,0.10189947089947088,0.10135111699000589,0.10396252204585538,0.10045502645502646,0.10115255731922397,0.10269091710758378,0.10088536155202822,0.10007951205173425
MAP@3,0.0800787771898883,0.07984905937683714,0.0791114050558495,0.07880584950029394,0.0812634479717813,0.07890204291593181,0.07960934744268078,0.08080768665490887,0.07883546443268666,0.07833911424652165
DCG@5,0.10826630268468238,0.10803778600137498,0.10816983199598187,0.10753783364739343,0.10924591321714312,0.10854612591480704,0.10692724478018657,0.10774225566808464,0.10647022250662375,0.10683610023981197
Recall@5,0.12885875955320397,0.12878159905937683,0.1294397413286302,0.12901484420928863,0.13046061140505585,0.1310734861845973,0.12663212815990593,0.1277445620223398,0.12715402704291592,0.12892225161669604
MAP@5,0.08840369635508524,0.08795094797178131,0.08748655202821869,0.08710440917107583,0.0893618239271017,0.08801505731922397,0.08745605526161082,0.08839166666666667,0.08694912551440329,0.0872965143053106
DCG@8,0.11871975962771242,0.11801825570414268,0.11806954307702813,0.1173639331723232,0.11826891026773317,0.1180690508160492,0.11785845554598938,0.11820320122635282,0.11651672232276711,0.1166973510040607
Recall@8,0.15790285126396236,0.1565033803644915,0.15699279835390947,0.15615461493239272,0.15562375073486184,0.15736316872427983,0.15687551440329217,0.15680761316872427,0.15507921810699588,0.1562119341563786
MAP@8,0.09485265320119818,0.0943835357702752,0.09371001564205929,0.09344721522353798,0.09507016863329694,0.09424068965034572,0.0943261430601047,0.09498723370006437,0.09313555209120684,0.09339976064499873
