,bpr,bpr,bpr,bpr,bpr,bpr,bpr,bpr,bpr,bpr
DCG@3,0.09614222118523662,0.09893740044067309,0.0990936902614215,0.09780810770325803,0.09895845913963933,0.09758733330377295,0.09505548218032557,0.10082536987729435,0.09738602871381252,0.09636421058493272
Recall@3,0.102697099328305,0.10601335885023828,0.10593455664377649,0.10535667379639008,0.1068342151675485,0.10391196667792411,0.10166610379376335,0.10881365154414799,0.10461086719951967,0.1034522871402304
MAP@3,0.08000863071785057,0.08181998699138178,0.08162626490049658,0.08099365829862283,0.08047925500644176,0.08111405055849501,0.07902141418689881,0.08381584049432748,0.08009462518918783,0.08027130473938983
DCG@5,0.10992386225593224,0.11183009747628303,0.11230798038753287,0.11073827436884619,0.11068630340152669,0.11270513457119306,0.10830220818317451,0.11280046697426191,0.11095566300919839,0.11036074737691227
Recall@5,0.13209407482457125,0.13347311343765242,0.13393279297534616,0.13238020188374797,0.13210720852564825,0.1358934669218357,0.12972062741566287,0.13460261173027127,0.13335491012795977,0.13311568914405794
MAP@5,0.08897120905099629,0.09016528137391022,0.08987141481231316,0.08939359825884649,0.08816523759490663,0.09054991119116414,0.08749326116051884,0.09148352971343515,0.08881235380939873,0.08927440992157305
DCG@8,0.12033922148652615,0.12139787375284945,0.12142415298218136,0.12105065880805942,0.12055614285116739,0.12173187619364387,0.11962769167650987,0.12282369337017006,0.12027221344040764,0.12056882890563975
Recall@8,0.1609431873616271,0.1599253255281624,0.15919359075387443,0.16083155090247286,0.15952193328079853,0.16057262936695563,0.1609009718938797,0.16250985027580772,0.15906225374310481,0.1613606514315734
MAP@8,0.09530311040886015,0.09630079146184346,0.09583549436322993,0.0957538666241385,0.09422297294278888,0.09652242266751722,0.0945016151325253,0.09785436311377715,0.09463516789694601,0.09542986625961128
