,DCG@3,DCG@5,DCG@8,Recall@3,Recall@5,Recall@8,MAP@3,MAP@5,MAP@8
ip,0.0854458,0.1109223,0.1343302,0.0969048,0.152645,0.2177915,0.0694349,0.0853155,0.1028948
wmf,0.0868887,0.1027907,0.1247457,0.0967115,0.1310757,0.1922362,0.0680908,0.0787803,0.0922834
expomf,0.0865942,0.106924,0.1269105,0.0939856,0.1377351,0.1932206,0.074343,0.0876369,0.1005059
relmf,0.1119863,0.1381389,0.160545,0.1209569,0.1774933,0.2398773,0.0963663,0.1138538,0.1283264
bpr,0.1076736,0.1262243,0.1464458,0.1177681,0.1577964,0.2139164,0.0904071,0.1027318,0.115501
ubpr,0.1036687,0.1244327,0.1461195,0.111543,0.1559443,0.215766,0.0897779,0.1038101,0.1183426
dumf,0.1132839,0.1381634,0.1583626,0.1225978,0.1754158,0.2313768,0.0954543,0.1126013,0.1258048
dubpr,0.1068973,0.1278537,0.1483,0.1159514,0.1609901,0.2179079,0.092031,0.1064036,0.119828
