,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr
DCG@3,0.050059489206578926,0.05062319229203229,0.05154408344510406,0.04731917884598595,0.0506321908049623,0.04793050090070368,0.049840780912399046,0.04934308637749316,0.04897142957134968,0.0492256033386263
Recall@3,0.054362433862433855,0.054480746619635506,0.056016754850088175,0.05239329805996472,0.05574617871840094,0.05196119929453263,0.054362433862433855,0.05461654908877131,0.05365255731922397,0.05415049970605527
MAP@3,0.03996891534391534,0.04039415539878503,0.0414591416813639,0.03651572604350382,0.04084785910248873,0.03687117871840094,0.040003894767783654,0.03910454634528709,0.03804916225749559,0.0385170977856163
DCG@5,0.05785246092785407,0.0590402050921265,0.06031479623055307,0.05654364911403548,0.05911195117810752,0.05766459543190276,0.05867723854805862,0.05843654398838021,0.05877921573533475,0.05832574038350898
Recall@5,0.07120282186948852,0.07245282186948852,0.07470179306290417,0.07204747207524985,0.07388183421516754,0.07290549676660787,0.07340961199294534,0.07394664902998235,0.07474808935920048,0.07373059964726632
MAP@5,0.04511228689006467,0.046131508426415835,0.04704309964726631,0.04232159758965315,0.0464569713893788,0.04314201940035273,0.04557859347442681,0.04500609690378208,0.044229416519694295,0.044390253282382906
DCG@8,0.06455285767052636,0.0650855132801569,0.06556750207764996,0.06282199418315544,0.0644676168886026,0.06358861779580786,0.06438131999780505,0.06433650873273979,0.06426828020657627,0.06368804556060005
Recall@8,0.08940123456790124,0.08903703703703704,0.08884156378600823,0.08916666666666667,0.08858024691358024,0.08903086419753087,0.08915432098765433,0.0899320987654321,0.08962345679012346,0.08839814814814816
MAP@8,0.04910040662355477,0.04962028953556731,0.050491806290417406,0.04613178277483833,0.04974682539682539,0.04665877425044092,0.04911580197922791,0.04857461052322164,0.047606768077601405,0.04764498089359201
