,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr
DCG@3,0.08775540601065222,0.0957324159329993,0.08981380837682919,0.0855601838569129,0.09180049857106735,0.08635362629025944,0.08413457284512549,0.08804935669266656,0.09132876329570518,0.08892581948082057
Recall@3,0.0944557019025104,0.10360332470261548,0.09639292281136252,0.0925513152463507,0.0999258884010657,0.09419302788097114,0.09205880145596457,0.09465270741866486,0.0984483470299073,0.09479342564448948
MAP@3,0.06999418364666592,0.07813488936420378,0.07325571941411184,0.07010363115564061,0.0722411410059164,0.06989568088858869,0.06938674997185636,0.07209010344353134,0.07356545586451023,0.07326510062916682
DCG@5,0.10154441422959058,0.10778088751574103,0.1056795998375174,0.09938276302479704,0.10478636246330689,0.10111738495625226,0.09785318676561432,0.10143444405967997,0.10443848531036808,0.10362183603080805
Recall@5,0.12342583211377538,0.12941104731884873,0.13005835115764192,0.12214904874479342,0.12760891590678825,0.1259672032721678,0.12153457915869262,0.12312000450298322,0.12639404855716913,0.1262955457990919
MAP@5,0.07876303988892641,0.0860085431598434,0.08291602561697124,0.0787455595582073,0.08045434788047082,0.07922787909490037,0.078150681076213,0.0806188005803845,0.08217079752836254,0.08286442893416888
DCG@8,0.11304096228167533,0.1172990723665578,0.11528596284665148,0.11243862219288661,0.11490214766253233,0.11159885013452868,0.10933218734579381,0.11362128779825706,0.11691944107584246,0.11518319680290576
Recall@8,0.15531539645014822,0.1560180494577658,0.15645427595782205,0.1584806184096964,0.1555349168824346,0.15465871139630005,0.15319430372621862,0.15683890577507598,0.16068051334008782,0.15797497091823332
MAP@8,0.08575313957997173,0.09219090348248571,0.08921472975846499,0.08624858835049648,0.08694696955483007,0.08556297453312821,0.08477207109531493,0.08778173240664798,0.08981945851626703,0.09015615702545793
