,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr
DCG@3,0.09729678009953185,0.09857722764596398,0.0971072591481807,0.09792230615377939,0.09695783420136166,0.09893259729588319,0.09938525072390349,0.09724120894123525,0.09699437752747493,0.09524540741398646
Recall@3,0.10473074661963551,0.10461654908877129,0.10397178130511463,0.10596531452087007,0.1044426807760141,0.1055270429159318,0.10593033509700177,0.10453012933568491,0.10394194591416812,0.10117651381540273
MAP@3,0.0816818783068783,0.08293325004899078,0.08186067019400353,0.08110608955516363,0.08063455320399765,0.08221531452087007,0.0849071869488536,0.08062666568685087,0.08092078189300411,0.0797477709190672
DCG@5,0.1093247443780824,0.11117924971553757,0.11015714763354875,0.1103165930347336,0.10927799729962555,0.1106636762420779,0.11233418262472128,0.10959581283240924,0.11031127178067505,0.10804305643902103
Recall@5,0.13010435038212817,0.1316599059376837,0.13143930041152263,0.13222604350382128,0.13076484420928866,0.13057921810699588,0.13359024103468548,0.13069694297472076,0.13232921810699588,0.12868900646678424
MAP@5,0.0894627351557907,0.09132352047815011,0.09039168136390359,0.08937371889084852,0.08889102733686068,0.08976270576131687,0.0933625146972369,0.08883653488144229,0.08979341563786007,0.08800823535175387
DCG@8,0.11893036426926516,0.12092373297021608,0.11986781454639747,0.11894474798757176,0.11902072378983805,0.12046836210225514,0.12124640507814761,0.11907745592392634,0.11933225883324972,0.1185579915325622
Recall@8,0.15675646678424457,0.15843856554967664,0.15839050558495005,0.15615285126396236,0.1578367136978248,0.1577820399764844,0.15834288653733097,0.15696766607877718,0.1574024103468548,0.1578071722516167
MAP@8,0.09568219989641946,0.09748845846980767,0.09647986740992694,0.09500076163181322,0.09510124594076312,0.095908222404188,0.09926630640939503,0.09472847169732092,0.09563630042552,0.09449998477786176
