,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr
DCG@3,0.05017853203578972,0.049786365378948184,0.05069413197644231,0.052836231395008496,0.0485406953371566,0.04940782605046126,0.05171738852957278,0.05015872699973742,0.05243710016857195,0.048819727469699904
Recall@3,0.054959141681363906,0.054891240446796004,0.055933421516754844,0.05665049970605526,0.0537389770723104,0.05450852439741328,0.05638712522045856,0.05514741328630217,0.05770296884185772,0.053335684891240444
MAP@3,0.041291960611405054,0.03891010190084264,0.04045348324514991,0.04309528708602783,0.03954761904761905,0.039449368018812464,0.041649470899470895,0.040451254164217125,0.04122663139329806,0.03802790025475211
DCG@5,0.059410027837623926,0.06016545010989101,0.06007695246657361,0.06253730436651705,0.0582878255740649,0.059098274484932226,0.061139650924045635,0.059120992337383715,0.061254852390465325,0.058925582542159315
Recall@5,0.07452380952380952,0.07669973544973545,0.07619870664315109,0.07716887125220458,0.07451763668430335,0.07530776014109347,0.07663800705467372,0.07463492063492064,0.07640035273368607,0.07489726631393298
MAP@5,0.04725153586125808,0.045377393200078386,0.04634515726043503,0.049434337644522826,0.04586552763080541,0.045342122281011164,0.047663058495002936,0.04610851459925534,0.047067688124632565,0.044340098961395256
DCG@8,0.06516254913473683,0.06496460459467458,0.06506005045340144,0.06701414968894052,0.06392574937683149,0.06429571221898468,0.0658839722994422,0.06452646508751515,0.06607975285342679,0.0644566505284409
Recall@8,0.09008641975308643,0.08972222222222222,0.08979320987654321,0.08928395061728395,0.08970679012345678,0.0894074074074074,0.08946913580246914,0.08929012345679012,0.08946913580246914,0.0898395061728395
MAP@8,0.050755932784636484,0.04853769106407996,0.049481712962962957,0.05226512345679012,0.049376648540074466,0.04877332696453067,0.05069130168528316,0.04952458112874779,0.05014318293160886,0.047847067901234566
