,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf
DCG@3,0.09292829590066769,0.0928943760148034,0.09111490444910217,0.09150632988951334,0.08880111783899068,0.09088824227275401,0.09136988399118155,0.09530613153775921,0.09337037473949758,0.09387311081864223
Recall@3,0.10165578445720289,0.09929171826334945,0.09897369507298585,0.099094712747195,0.09482625989718188,0.09792299898682877,0.09849431498367667,0.10167923749484034,0.10009005966452775,0.1009005966452775
MAP@3,0.07494511989192841,0.0762772524297347,0.07640014634695486,0.07425560058538781,0.0749287027655822,0.07354903873816404,0.07538447346366968,0.07824105344790923,0.07803091423067782,0.07722397338236582
DCG@5,0.10538190641800887,0.10440106285812212,0.10452358555051798,0.10575487684619714,0.10329913204132352,0.10301296017330272,0.10361517199049403,0.10924467260055672,0.10598636184715331,0.10723680684987709
Recall@5,0.12803576119178955,0.12382922436113925,0.1280226274907126,0.13016623513077413,0.12537243423768246,0.1237016398363916,0.12476265525910914,0.13129948590941495,0.12720177117340237,0.1295226837780029
MAP@5,0.08305541483732973,0.08373180044279334,0.08478451349018724,0.08315954632443993,0.08382936507936509,0.0816079246250641,0.08321309742704543,0.08700521908264225,0.08576703941361151,0.08540645677761516
DCG@8,0.11546486421432442,0.11598728757590711,0.11536264790993632,0.1163080736570005,0.11378895062993932,0.11421926868272156,0.11567341270736896,0.11817021394597005,0.11596469012444302,0.11787814081064762
Recall@8,0.15595238095238093,0.15587357874591917,0.1581194416300799,0.15945251228939172,0.15436320312206836,0.15470467935006943,0.15796558970317834,0.15601804945776576,0.1546390108446846,0.15886149574092837
MAP@8,0.08907227489104388,0.0904918090824457,0.09121508512782575,0.08955955083635767,0.09010358313275402,0.08818883023395857,0.09038356214563577,0.0925773090297322,0.09216340870469543,0.0916908769023764
