,wmf,wmf,wmf,wmf,wmf,wmf,wmf,wmf,wmf,wmf
DCG@3,0.10708136441859763,0.10068281524922838,0.10397054562381816,0.10279183075528336,0.11117279306749028,0.11340765639620543,0.11279909127734869,0.11658570656944502,0.11223096483820655,0.10490220012980457
Recall@3,0.1144854953475643,0.10756020799124247,0.11441844553913519,0.10925561029009305,0.11954707170224413,0.12204707170224412,0.1254529282977559,0.1240024630541872,0.12347427476737823,0.11304871373836892
MAP@3,0.09398399014778325,0.08904305783616127,0.08961343732895456,0.08784300310162378,0.09721355592045247,0.09732370917715745,0.09221195949644226,0.10326491516146688,0.09229748221127532,0.09018336070060208
DCG@5,0.13359278426612034,0.12285350895579424,0.12380346831447647,0.12552440549214855,0.1325148915409062,0.13367198169495406,0.13317482750154824,0.14031930691418382,0.1283946056062648,0.12774016688476905
Recall@5,0.17147783251231527,0.156663929939792,0.15699781061850027,0.15784619594964422,0.16543240284619593,0.1648440065681445,0.1688902572523262,0.17539135194307606,0.15821839080459768,0.16201286261631087
MAP@5,0.1108676108374384,0.10250104907863529,0.10229761904761905,0.10279483670862981,0.11117770479839444,0.11013405400474366,0.10486945812807882,0.11879556650246305,0.10401368363437329,0.10513868363437329
DCG@8,0.15391586218832384,0.14894194041032197,0.14659596683112058,0.1516667708434352,0.14787716468923706,0.16198410695106555,0.1527678261921145,0.16251100806212998,0.15384416463102416,0.151714151658307
Recall@8,0.2276012588943623,0.2288998357963875,0.22016694033935413,0.23141351943076077,0.2090325670498084,0.24327175697865352,0.22266420361247946,0.2366256157635468,0.2294198139025725,0.22883141762452108
MAP@8,0.12502531798159877,0.11958711913884329,0.1162051763234029,0.12100752599890531,0.12186286391951416,0.12738267423827768,0.11777500684181717,0.13345073891625614,0.12123359267078479,0.11959927150937003
