,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr,ubpr
DCG@3,0.10219464130329832,0.10470560121503886,0.09669362156501257,0.09917400372345428,0.0989318111975922,0.09939501652579416,0.09970659400056284,0.10141700700988707,0.12113777504067536,0.11333052827755362
Recall@3,0.10939928845101259,0.11169813902572524,0.10474822112753147,0.10597564313081555,0.10560618500273673,0.10583607006020798,0.11043377120963328,0.10962917350848385,0.13074986316365628,0.12135331143951833
MAP@3,0.08992770479839446,0.0918913063309615,0.0820377212187557,0.08818030468892538,0.0854353676336435,0.08453498449188104,0.0879004743659916,0.09120644043057835,0.09796410326582741,0.09870028279511038
DCG@5,0.1260244762857344,0.1255471316335018,0.11879500071050708,0.1258058093344363,0.11795735163602185,0.11369927696246941,0.11931352218046973,0.12424610845949259,0.13925690388682033,0.13368141746550122
Recall@5,0.1611904761904762,0.15565270935960593,0.152707991242474,0.1623248494800219,0.14623289545703338,0.13616174055829225,0.15333880678708264,0.15895730706075534,0.168535851122058,0.16434044882320742
MAP@5,0.10483000364896916,0.10605099434409779,0.09755496259806605,0.10578936325488049,0.09786133917168399,0.09510682357234082,0.10102431125706988,0.10592072614486407,0.11120493523079729,0.11275802773216567
DCG@8,0.14857181734114427,0.14891714231840358,0.14280717690574884,0.1463118691008392,0.1382518079456493,0.1337850903781558,0.14226816313783264,0.14937702027671193,0.15706834407084358,0.15383660084757964
Recall@8,0.22456896551724137,0.22107279693486587,0.21957991242473998,0.21902983032293377,0.20124110563765735,0.19225232621784344,0.21661877394636014,0.22782156540777232,0.21640394088669948,0.21907088122605362
MAP@8,0.11974282749498266,0.12182167618005053,0.11224023900748037,0.1197659984491881,0.11238680213464695,0.10734471681392863,0.1159967159277504,0.12165451103813173,0.12436836343732895,0.12810428884197356
