,DCG@3,DCG@5,DCG@8,Recall@3,Recall@5,Recall@8,MAP@3,MAP@5,MAP@8
wmf,0.0980002,0.1195624,0.1425883,0.1058454,0.1523368,0.2166849,0.0823737,0.0970326,0.1113102
expomf,0.0909645,0.1102964,0.1276119,0.0959223,0.1364149,0.1836412,0.0848237,0.097459,0.1076237
relmf,0.1054457,0.1266114,0.1475225,0.1151512,0.160788,0.2188766,0.0878785,0.1023148,0.1159499
bpr,0.0962823,0.1180365,0.1407455,0.1053432,0.1523316,0.215425,0.0794229,0.093415,0.1075557
ubpr,0.1074123,0.1284686,0.1501045,0.11841,0.1635616,0.2237756,0.0892526,0.103322,0.1168012
dubpr,0.1030903,0.1230574,0.1439637,0.1145364,0.1578235,0.2161104,0.0852562,0.0981852,0.111193
ip,0.0634487,0.0899578,0.1161096,0.0664641,0.1238191,0.1964327,0.0535634,0.0713722,0.0866956
