,bpr,bpr,bpr,bpr,bpr,bpr,bpr,bpr,bpr,bpr
DCG@3,0.04522570202766576,0.04749055122097498,0.045070800171768566,0.0463327807125755,0.04540107737442506,0.045991699187531355,0.04459749547021432,0.04495817320667815,0.04358897219020256,0.045562172377239654
Recall@3,0.049140211640211644,0.053121693121693125,0.0498696355085244,0.05189329805996473,0.049905643738977074,0.0508778659611993,0.049272927689594355,0.04951058201058202,0.048246178718400944,0.05104864785420341
MAP@3,0.03578373015873016,0.03727910052910053,0.03537632275132275,0.035221487360376245,0.03647457378012934,0.03616901822457378,0.03521480011757789,0.03565564373897707,0.03373366157162454,0.03612718009014305
DCG@5,0.0568361761550508,0.05746462027944743,0.05523170851032436,0.055575240320235954,0.05647315860735198,0.05738451664938631,0.05488820573457646,0.05524274666067643,0.05440366918682155,0.055857171495007144
Recall@5,0.07392813051146384,0.07465035273368607,0.07165343915343915,0.07166475602586714,0.07345487948265726,0.075255291005291,0.07136640211640212,0.07128924162257495,0.07131701940035273,0.07310405643738976
MAP@5,0.042866093474426804,0.04346012639623751,0.04163358318636097,0.04118492063492063,0.04327813051146384,0.04318209141681364,0.0415021531452087,0.04207278071722516,0.04040002694493435,0.04244832941407015
DCG@8,0.0626674765453003,0.06263216541249796,0.06184265607998205,0.0619921507770736,0.06236634003055717,0.06263286883335373,0.06118845018457949,0.0619719941885125,0.06103017145915995,0.06191032024988275
Recall@8,0.08985493827160494,0.0887746913580247,0.08954629629629629,0.08917592592592592,0.08962345679012346,0.08946913580246914,0.08862037037037036,0.08966975308641977,0.08928395061728395,0.08949382716049382
MAP@8,0.04648483490103861,0.046681087105624144,0.045510426464824616,0.04494858906525573,0.046807010582010575,0.04651324466000392,0.04532886047423085,0.04607401773466588,0.04434758230452675,0.046098706643151084
