,bpr,bpr,bpr,bpr,bpr,bpr,bpr,bpr,bpr,bpr
DCG@3,0.0940929544223981,0.09232672583047319,0.09271568116387259,0.09200053755774387,0.09266744140018689,0.09246108463385724,0.09211072924497928,0.09326408088339425,0.09010772861986178,0.09044137824596406
Recall@3,0.10114770723104054,0.09935934744268077,0.09906407995296884,0.0987574955908289,0.09957980599647268,0.0996679894179894,0.0982821869488536,0.10026366843033509,0.09727704291593181,0.09724617871840092
MAP@3,0.0778750734861846,0.07676829805996473,0.07697405937683716,0.07628681657848324,0.07717599941211052,0.0768804379776602,0.07656407995296884,0.07720142563198118,0.0746940525181266,0.07528767391730355
DCG@5,0.10579757078425014,0.10529589050645233,0.10607818103286429,0.10515173021355644,0.10485780330793305,0.1060653326925282,0.10519112803092419,0.10500494551090975,0.10305805059650588,0.1033854678868029
Recall@5,0.12619209288653732,0.1268697824808936,0.12740373309817754,0.12671928277483832,0.12558612580834802,0.1284994121105232,0.12600867136978247,0.12545443856554966,0.12482039976484421,0.12480011757789536
MAP@5,0.085630658436214,0.08498105526161083,0.08551232363315697,0.08464582598471487,0.08518641975308641,0.08550383597883597,0.08494103468547913,0.08479786890064668,0.08336020478150108,0.08370056339408191
DCG@8,0.11674944613695147,0.1161169276515423,0.11611365846209584,0.1154536609493814,0.11530191887641145,0.11657633577059476,0.11511156834174792,0.11506481021301027,0.11381727474091707,0.11390733924031919
Recall@8,0.1568076131687243,0.1569156378600823,0.15539094650205762,0.15546325690770135,0.15446810699588476,0.15764711934156378,0.1535267489711934,0.15330893592004702,0.15472427983539097,0.15401440329218105
MAP@8,0.09225359907337422,0.09170240702247977,0.09162973443492622,0.0910248047367095,0.09170814541866129,0.09200878929761205,0.09120010323059265,0.09107672884997621,0.08972920865877214,0.09022020082724447
