,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr
DCG@3,0.09758148434942686,0.11114360261307668,0.10415422844900961,0.10506416263562035,0.11060806759559576,0.0937350443921737,0.10448281586201612,0.10508447408810377,0.1059398268066659,0.09999613160955283
Recall@3,0.10526135741652984,0.12374794745484399,0.11306787082649151,0.1162862616310892,0.12214833059660644,0.10332238642583469,0.11603721948549532,0.11421729611384784,0.11860426929392448,0.10862342638204707
MAP@3,0.08304050355774492,0.08965654077723044,0.08305053822295201,0.08541119321291735,0.09499657909140667,0.07796798029556651,0.09264664294836707,0.08196496989600438,0.08869389709906951,0.08665800036489692
DCG@5,0.11483526097184316,0.12608249849757383,0.12996795385344645,0.12364914076147375,0.12743738778778851,0.11237900697314705,0.12334571240239775,0.1289905686052822,0.12384205364701101,0.11187879456041264
Recall@5,0.14260673234811164,0.1559742747673782,0.1676847290640394,0.15571975916803502,0.15903940886699505,0.14290914066776134,0.1559263820470717,0.16538998357963874,0.15802818828680898,0.13365626710454295
MAP@5,0.09537219485495348,0.09976354679802955,0.09891595967889072,0.0998026135741653,0.10579077723043241,0.09114785166940338,0.10550214376938515,0.0971323207443897,0.10081834975369458,0.09617914158000365
DCG@8,0.13482631603250675,0.13839078851862083,0.15082666959758972,0.1442970835268136,0.14343669882521629,0.13463226019873403,0.15018405906645216,0.14626218293908677,0.14375833723613962,0.13798924812318636
Recall@8,0.19841406677613577,0.19012999452654625,0.2262205801860974,0.21305966064586754,0.20266830870279146,0.2053311439518336,0.2319061302681992,0.21363026819923372,0.21284482758620688,0.20632320744389712
MAP@8,0.10785766413845231,0.10782697044334974,0.11362117509839186,0.11376316235306383,0.1166347642505278,0.10379876260849166,0.12201516277008888,0.1081168582375479,0.11391986765970756,0.11313570581489299
