,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf
DCG@3,0.05556988051755199,0.05557342744837019,0.052658998030672324,0.053515915858686584,0.05636017214198986,0.05327038809408927,0.052752614265253704,0.05712826131619837,0.06012826079518918,0.05805666231987126
Recall@3,0.060731171901384676,0.06026211114863597,0.05823576869676159,0.06000881834215168,0.06239258508762054,0.058071597433299565,0.059338999587226535,0.06348924912754701,0.06705880145596457,0.06612630867950017
MAP@3,0.04253896331319499,0.04274065943687693,0.040789835766195104,0.03983217006266652,0.041810981024929014,0.04126155452987604,0.03891265463369482,0.04225955945814101,0.04548779191214179,0.043598727907238545
DCG@5,0.06806785168967205,0.06797468574728768,0.06384276527948175,0.06519328995713018,0.07018331618146781,0.06658983999892165,0.06468454299124302,0.06990333105469905,0.07134899473620672,0.07073350386640163
Recall@5,0.08786633644789672,0.08664208788322264,0.08210064167510976,0.0849637885098878,0.09196686554842583,0.08652013208750797,0.08500975646365717,0.09098559045367556,0.09123888326015984,0.0933824909002214
MAP@5,0.04986911641462469,0.04999960911603937,0.04754965789835766,0.04690326091035311,0.049713482056862664,0.049320956383604134,0.045720743117315214,0.04982480580884836,0.05268402816866174,0.050794729633382114
DCG@8,0.0837691857184907,0.08335503198457925,0.079753750830262,0.08255399559928892,0.08250569211593281,0.08093334613282846,0.07905827791562232,0.08539964220643932,0.08546675829770392,0.08432839804652208
Recall@8,0.1318717400277684,0.1295958572554317,0.126618259596983,0.13321419190213515,0.12638466734211415,0.12674959660775262,0.12484520995159291,0.13435400953131452,0.13061371908889638,0.13149086269653645
MAP@8,0.05870237358142626,0.05846517849325177,0.05639866768877238,0.05623002582961211,0.056709819139108227,0.05707166042145778,0.05377422587106815,0.0584125375918689,0.06027499468397814,0.05890925729367134
