,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf
DCG@3,0.033231084135249604,0.03218440426702868,0.03382860016253503,0.03351725833389743,0.032638064034367746,0.034890258283941544,0.03649468612448015,0.033056370583177244,0.03512877448603224,0.03237061825879823
Recall@3,0.03805687830687831,0.036674162257495584,0.03865667254556143,0.03803321575543798,0.03724514991181658,0.03966593180482069,0.040606261022927685,0.0372852733686067,0.04003012933568489,0.036860376249265144
MAP@3,0.024670561434450324,0.022862433862433865,0.024599402312365272,0.025091686262982558,0.024210170487948265,0.026431192435822065,0.027013668430335095,0.024532701352145796,0.02575080834803057,0.02359785910248873
DCG@5,0.04294351480225993,0.04387580447932348,0.04465582392094811,0.04498621655026357,0.04453868479598108,0.046633080899155514,0.046526021762986675,0.04435449445853364,0.04561090933326116,0.04378228234023628
Recall@5,0.05893944738389183,0.06177998236331569,0.06215652557319224,0.06278615520282188,0.06280364491475603,0.06485405643738977,0.06229438565549677,0.06153821281599059,0.06263183421516755,0.061471340388007056
MAP@5,0.03065652557319224,0.02992524985302763,0.03087934793258867,0.03189153929061336,0.031218202527924746,0.03346700225357632,0.0328922251616696,0.031310023515579065,0.03206809964726631,0.030449563981971385
DCG@8,0.053370261173946616,0.053035259136157406,0.05389942776146136,0.05421424074350615,0.053325143421065556,0.05470210580402738,0.055518726473846036,0.05369348229646391,0.05493304471318192,0.05317125100563462
Recall@8,0.0873179012345679,0.08672222222222221,0.08747222222222222,0.08808024691358024,0.0870246913580247,0.08698765432098765,0.08673148148148148,0.08705246913580246,0.08824382716049382,0.08711728395061727
MAP@8,0.03633495002939448,0.03505960709386635,0.036100363756613754,0.03701127278071723,0.03617506613756614,0.038052858612580835,0.03808617357436801,0.03653959435626102,0.037264479227905156,0.03574481922398589
