,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf
DCG@3,0.054463039272827835,0.05326067757810308,0.05514497663554571,0.05249442144388535,0.05395979925465108,0.05488419767564235,0.055216339367884906,0.05428407457342311,0.056609784560334185,0.05579266491407473
Recall@3,0.05958245149911816,0.05823721340388006,0.06092783656672545,0.058154908877131095,0.059786596119929446,0.05985552616108172,0.06121693121693121,0.05982495590828924,0.062407995296884185,0.06282642563198118
MAP@3,0.04206878306878307,0.040484200470311586,0.042503282382912004,0.03875761806780325,0.04105665784832451,0.04257809131883206,0.04142666078777189,0.0410651087595532,0.04295010288065843,0.04266061630413482
DCG@5,0.06735431550950528,0.0656792339612183,0.06640149016915799,0.06378438015463886,0.06567067561714018,0.06807590559233898,0.06711433405347718,0.06627037008226877,0.06852595357174794,0.06803894828146206
Recall@5,0.08719062316284538,0.08467357436801881,0.08513168724279835,0.08243592004703115,0.08482642563198119,0.08801748971193417,0.0868392122281011,0.08564609053497942,0.08807921810699587,0.0892445620223398
MAP@5,0.049668797766019984,0.04783128306878306,0.04914663923182441,0.045634749167156576,0.04794701646090535,0.05042753282382911,0.0484081569664903,0.04812131834215167,0.050317930629041746,0.049634528708602785
DCG@8,0.0818499434614177,0.08192814966445038,0.08090414554229336,0.07981603567166586,0.07893047288453924,0.08253333423351362,0.08142776149667702,0.08231362888000941,0.08327468715040075,0.08237388075343374
Recall@8,0.1277961493239271,0.13031907701352144,0.1256572604350382,0.12732569077013522,0.12190417401528512,0.1285355673133451,0.12651528512639623,0.13048133450911228,0.12943636096413874,0.129282480893592
MAP@8,0.057808851935836056,0.05662245195403264,0.05723615940203242,0.05441082976400436,0.05531952055513563,0.058459930608045683,0.056458725959519604,0.056871562421264794,0.05837108301139385,0.05783995233896028
