,DCG@3,DCG@5,DCG@8,Recall@3,Recall@5,Recall@8,MAP@3,MAP@5,MAP@8
ip,0.0389679,0.0502853,0.0578114,0.0437174,0.0681864,0.088713,0.0287925,0.0355946,0.0400423
wmf,0.0444882,0.0543156,0.0609615,0.0494539,0.0705279,0.0886821,0.0347321,0.0408791,0.0448251
expomf,0.0514642,0.0591259,0.065151,0.0557797,0.0721938,0.0886947,0.0425462,0.0475153,0.0512263
relmf,0.0329423,0.0440988,0.0535946,0.0374939,0.0614767,0.0875678,0.0239568,0.030631,0.0358673
bpr,0.0474567,0.0576876,0.0633785,0.0522481,0.0741421,0.0895864,0.0377564,0.0441133,0.047621
ubpr,0.049549,0.0584746,0.0642758,0.0541743,0.0733027,0.0891166,0.0391732,0.0449412,0.0484692
dumf,0.0442831,0.0547077,0.0611358,0.0493164,0.0716335,0.089175,0.0341766,0.0405177,0.0444375
dubpr,0.04849,0.0575363,0.0636669,0.0530363,0.0723571,0.0890417,0.0389048,0.0446388,0.0483372
