,DCG@3,DCG@5,DCG@8,Recall@3,Recall@5,Recall@8,MAP@3,MAP@5,MAP@8
ip,0.0862577,0.1013389,0.1123533,0.0930307,0.1252317,0.1559946,0.0684772,0.0775876,0.0841031
wmf,0.0916588,0.1053722,0.1155478,0.0989166,0.1280686,0.1563337,0.0742094,0.0828076,0.0889194
expomf,0.0827232,0.096527,0.1086019,0.0890827,0.1185986,0.1521747,0.0692435,0.0779075,0.084939
relmf,0.0525517,0.0649515,0.0808166,0.057768,0.0842774,0.1287351,0.0402789,0.047642,0.0562552
bpr,0.0978158,0.1110611,0.1209792,0.1049291,0.1330675,0.1604822,0.0809245,0.089418,0.095636
ubpr,0.0889454,0.1027639,0.1139622,0.0961075,0.1255965,0.1565151,0.0721933,0.080992,0.0878447
dumf,0.0901163,0.1036951,0.1145891,0.0974022,0.1262852,0.1564567,0.0736363,0.0821412,0.0886738
dubpr,0.0870139,0.1009718,0.1122584,0.0945239,0.1243627,0.1557179,0.0697756,0.0787138,0.0854663
