,DCG@3,DCG@5,DCG@8,Recall@3,Recall@5,Recall@8,MAP@3,MAP@5,MAP@8
ip,0.0848991,0.0990144,0.1102306,0.0919489,0.1219472,0.1532362,0.0688645,0.0776238,0.0844668
wmf,0.0896991,0.1027524,0.1128685,0.0967603,0.1244785,0.1525734,0.0737732,0.0821199,0.0884033
expomf,0.0805059,0.0931779,0.1056327,0.0866632,0.1138216,0.148416,0.0672279,0.0753053,0.0825053
relmf,0.0526957,0.0645642,0.0798544,0.0581204,0.0835707,0.1264027,0.0404076,0.047509,0.0558885
bpr,0.0949819,0.107778,0.1177785,0.1016314,0.1288082,0.1565515,0.0795602,0.0878416,0.0941553
ubpr,0.0865532,0.0999531,0.1110801,0.0938315,0.1224505,0.1532956,0.0698134,0.0784069,0.0852167
dumf,0.0891381,0.1022808,0.1129747,0.0959493,0.123922,0.1535738,0.0734977,0.0818848,0.088442
dubpr,0.084695,0.0983825,0.1098835,0.0919042,0.1211126,0.153081,0.0681259,0.0768518,0.0837706
