,DCG@3,DCG@5,DCG@8,Recall@3,Recall@5,Recall@8,MAP@3,MAP@5,MAP@8
ip,0.0854458,0.1109223,0.1343302,0.0969048,0.152645,0.2177915,0.0694349,0.0853155,0.1028948
wmf,0.1068805,0.1319969,0.1540414,0.115882,0.1695573,0.230657,0.0924302,0.1092844,0.1233268
expomf,0.0865942,0.106924,0.1269105,0.0939856,0.1377351,0.1932206,0.074343,0.0876369,0.1005059
relmf,0.11021,0.134262,0.154623,0.1207213,0.1723246,0.2285654,0.0934413,0.1101561,0.123643
bpr,0.1067488,0.128614,0.1498999,0.1185171,0.1653725,0.2244584,0.0897395,0.1041108,0.117158
ubpr,0.11121,0.132963,0.1527447,0.1209261,0.167691,0.2229563,0.0959539,0.1108479,0.1237603
dumf,0.1133564,0.1381784,0.1584939,0.1227128,0.1754158,0.2317217,0.095531,0.1126205,0.1258671
dubpr,0.1097461,0.1308931,0.1490193,0.1191741,0.1645246,0.2148046,0.0927643,0.1067442,0.1184795
