,ip,ip,ip,ip,ip,ip,ip,ip,ip,ip
DCG@3,0.08489914541782989,0.08489914541782989,0.08489914541782989,0.08489914541782989,0.08489914541782989,0.08489914541782989,0.08489914541782989,0.08489914541782989,0.08489914541782989,0.08489914541782989
Recall@3,0.09194885361552028,0.09194885361552028,0.09194885361552028,0.09194885361552028,0.09194885361552028,0.09194885361552028,0.09194885361552028,0.09194885361552028,0.09194885361552028,0.09194885361552028
MAP@3,0.0688644914756026,0.0688644914756026,0.0688644914756026,0.0688644914756026,0.0688644914756026,0.0688644914756026,0.0688644914756026,0.0688644914756026,0.0688644914756026,0.0688644914756026
DCG@5,0.09901441224208257,0.09901441224208257,0.09901441224208257,0.09901441224208257,0.09901441224208257,0.09901441224208257,0.09901441224208257,0.09901441224208257,0.09901441224208257,0.09901441224208257
Recall@5,0.12194723691945915,0.12194723691945915,0.12194723691945915,0.12194723691945915,0.12194723691945915,0.12194723691945915,0.12194723691945915,0.12194723691945915,0.12194723691945915,0.12194723691945915
MAP@5,0.07762378747795415,0.07762378747795415,0.07762378747795415,0.07762378747795415,0.07762378747795415,0.07762378747795415,0.07762378747795415,0.07762378747795415,0.07762378747795415,0.07762378747795415
DCG@8,0.11023061371967038,0.11023061371967038,0.11023061371967038,0.11023061371967038,0.11023061371967038,0.11023061371967038,0.11023061371967038,0.11023061371967038,0.11023061371967038,0.11023061371967038
Recall@8,0.15323618459729568,0.15323618459729568,0.15323618459729568,0.15323618459729568,0.15323618459729568,0.15323618459729568,0.15323618459729568,0.15323618459729568,0.15323618459729568,0.15323618459729568
MAP@8,0.08446677112202906,0.08446677112202906,0.08446677112202906,0.08446677112202906,0.08446677112202906,0.08446677112202906,0.08446677112202906,0.08446677112202906,0.08446677112202906,0.08446677112202906
