,ngcf,ngcf,ngcf,ngcf,ngcf,ngcf,ngcf,ngcf,ngcf,ngcf
DCG@3,0.1219024070902786,0.13201054283172145,0.10972500611326695,0.12973080353123403,0.1246933101356204,0.12170683775352423,0.12195956934304467,0.1210451179132127,0.11643700270396992,0.11078897871839154
Recall@3,0.13241242474001094,0.14274630541871922,0.11825533661740557,0.14413656267104544,0.13633962780514502,0.1304775588396278,0.13272714833059662,0.13542966611932128,0.12531882868089764,0.12003694581280787
MAP@3,0.09749178981937602,0.10710933223864258,0.0972208538587849,0.10404305783616127,0.10123426382047071,0.10356185002736726,0.106871921182266,0.09918878854223682,0.09973271300857507,0.09329912424740011
DCG@5,0.15242279041674323,0.14574107866442734,0.13670861635761092,0.15085416069676105,0.1536273939673474,0.14377487669266678,0.1417283767756372,0.14300518340509585,0.14486112831333023,0.13529266922713848
Recall@5,0.19744526546250682,0.1719896004378763,0.1763341543513957,0.19009304871373836,0.20076354679802957,0.17653530377668308,0.1748823207443897,0.18287629994526547,0.18598385331143952,0.17177476737821565
MAP@5,0.11787027914614122,0.11735262725779969,0.11453899835796388,0.11935135011859149,0.119982074438971,0.11841639299397919,0.11921674876847292,0.11418468345192481,0.11849913336982303,0.10909906951286262
DCG@8,0.16517020725500428,0.1709567145784128,0.15865567846214565,0.1689771745796333,0.16815031790731128,0.16541474662058273,0.16127155307644614,0.16294023212696493,0.16400852837581406,0.15625830611844563
Recall@8,0.2329515599343186,0.24354269293924463,0.23765462506841817,0.24093048713738366,0.24149562123700052,0.2372126436781609,0.23084428024083198,0.238028188286809,0.2385207991242474,0.23002052545155993
MAP@8,0.1265224167253108,0.1334895173586676,0.1279696809758386,0.13141347381864624,0.13060072132301198,0.13288441727265618,0.13106557881773398,0.12826306624182238,0.1305640426668752,0.12345485540959679
