,DCG@3,DCG@5,DCG@8,Recall@3,Recall@5,Recall@8,MAP@3,MAP@5,MAP@8
ip,0.0389679,0.0502853,0.0578114,0.0437174,0.0681864,0.088713,0.0287925,0.0355946,0.0400423
wmf,0.0434777,0.054131,0.0607371,0.0483471,0.0711104,0.0891177,0.0337189,0.0403462,0.0442709
expomf,0.0514642,0.0591259,0.065151,0.0557797,0.0721938,0.0886947,0.0425462,0.0475153,0.0512263
relmf,0.0445457,0.0549224,0.0614309,0.04923,0.0714662,0.0892238,0.0348567,0.0412877,0.0451658
bpr,0.0454219,0.0559357,0.0620235,0.0502887,0.0727684,0.0893512,0.0357036,0.0422028,0.0458794
ubpr,0.0504577,0.0600017,0.065137,0.0553255,0.0756987,0.0896068,0.0404103,0.0464795,0.0497397
dumf,0.0445676,0.05513,0.0613464,0.0495804,0.0720825,0.08905,0.0348441,0.0412846,0.0450721
dubpr,0.0299269,0.0417922,0.0520661,0.0345044,0.0598201,0.0879815,0.021471,0.028464,0.0341068
