,DCG@3,DCG@5,DCG@8,Recall@3,Recall@5,Recall@8,MAP@3,MAP@5,MAP@8
ip,0.0862577,0.1013389,0.1123533,0.0930307,0.1252317,0.1559946,0.0684772,0.0775876,0.0841031
wmf,0.0881474,0.1016397,0.1128603,0.0949483,0.1237899,0.1549319,0.0730566,0.0814739,0.0881858
expomf,0.0827232,0.096527,0.1086019,0.0890827,0.1185986,0.1521747,0.0692435,0.0779075,0.084939
relmf,0.0899794,0.1029287,0.114382,0.0965126,0.1241704,0.1560056,0.0744396,0.082646,0.0894368
bpr,0.0947037,0.108193,0.1184409,0.1019728,0.1307186,0.1590586,0.0776076,0.0862211,0.0924657
ubpr,0.1010094,0.1140831,0.123418,0.1080162,0.1357971,0.1616004,0.0841124,0.0927268,0.0986732
dumf,0.0922053,0.1052457,0.1158818,0.0992929,0.1271915,0.156595,0.0759236,0.084156,0.0905446
dubpr,0.0417793,0.0551667,0.0740546,0.0486285,0.0777759,0.1303614,0.0298035,0.0375115,0.0475224
