,wmf,wmf,wmf,wmf,wmf,wmf,wmf,wmf,wmf,wmf
DCG@3,0.031443116858026664,0.03568999823462498,0.03437127614257982,0.03801706706745854,0.03389446034396141,0.03713739350146428,0.036959525047914964,0.03790153708636291,0.03482858268610197,0.03720610773081841
Recall@3,0.0364591416813639,0.04063198118753674,0.038917989417989414,0.0420568783068783,0.039051734273956494,0.04129453262786596,0.04203630217519107,0.04269885361552028,0.038743092298647856,0.04228630217519107
MAP@3,0.02193993729178914,0.02578973153047227,0.024659758965314523,0.027890211640211635,0.024122036057221238,0.027217886537330982,0.027337228101116984,0.028385582010582007,0.025238291201254166,0.026744121105232214
DCG@5,0.04326970503408528,0.04766173280009747,0.045506084360476436,0.0489582148765581,0.04573469340753646,0.04816656578880078,0.04799221567015918,0.0483696217080125,0.04662195393297411,0.047701456392399186
Recall@5,0.06216269841269841,0.06642813051146385,0.06280364491475601,0.06525837742504409,0.06465035273368606,0.06505364491475603,0.06551146384479718,0.06508759553203998,0.06399294532627867,0.06468121693121692
MAP@5,0.028831148344111306,0.03307893640995493,0.03136223544973545,0.0345336860670194,0.03117127180090143,0.033648912404467955,0.03404958112874779,0.03496753380364491,0.03225141583382324,0.032961258083480306
DCG@8,0.05272973686180606,0.05562720412901396,0.05446119564655348,0.05688019848069011,0.05407539479760981,0.056259590694548764,0.05660180323858682,0.05657933504224264,0.05544812890423735,0.05628679414987618
Recall@8,0.08820987654320987,0.08814197530864197,0.08757098765432099,0.08682098765432097,0.08774382716049382,0.08729320987654321,0.08890123456790124,0.08747736625514403,0.08807407407407408,0.08824074074074074
MAP@8,0.034222633744855964,0.03762555114638448,0.03637399323927102,0.03913368851655888,0.03594244194591417,0.03847866328630217,0.03887654565941603,0.03960322604350382,0.03726639476778366,0.03801286988046247
