,wmf,wmf,wmf,wmf,wmf,wmf,wmf,wmf,wmf,wmf
DCG@3,0.07499934685254596,0.07384452360652838,0.06760519162834489,0.07332710056133913,0.07240654381647976,0.07661924860793547,0.07332489344685998,0.0711112871167679,0.0721691606460145,0.0740327880143156
Recall@3,0.082191639461143,0.08224135990093437,0.0737757514353259,0.08252373447408909,0.07818586063266915,0.08380427032909303,0.08026755225336785,0.07855078989830763,0.07948609703928854,0.08091485609216104
MAP@3,0.05846576481919271,0.05420638047706606,0.05360457553128947,0.05702246488298498,0.05570518593568238,0.05696774112849763,0.05907726368719276,0.05621255331657223,0.05580165609716437,0.059962224974045304
DCG@5,0.0875075882277775,0.08734541942911496,0.08436427500283987,0.08787058176102189,0.08821760496770081,0.0910967996025427,0.08932861947984413,0.08693697975698554,0.08775992063724312,0.08974062946031017
Recall@5,0.1090969642388082,0.11112236856917705,0.1094572028969192,0.11346767233292056,0.1116148823595632,0.11463000487823183,0.11469192089759464,0.11226218619835641,0.11310274306728207,0.1142416225749559
MAP@5,0.06617252679900434,0.06248717900609152,0.0635795276870927,0.06601145133651044,0.06506684115726669,0.06585920985152663,0.06867298022439865,0.06558743605138405,0.06520266551590428,0.0693610298072473
DCG@8,0.1025754776276481,0.10145326425358883,0.09810663455611135,0.10054357655855867,0.10201329058381073,0.10331938056835546,0.10127888060213679,0.0991282759627246,0.10165489134436935,0.10239787513556445
Recall@8,0.1512242485646741,0.15013696573980262,0.14755619347817928,0.1487354122105895,0.1497101204548013,0.14900090059664528,0.14800649180081804,0.145848812338174,0.15157229164321365,0.14976640774513114
MAP@8,0.07450224724773019,0.07079874010281811,0.07148049868752335,0.07341698250090685,0.07321820125475983,0.07267177004765657,0.07572100891840844,0.07302431610942249,0.0732539369832514,0.07669337074204517
