,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr
DCG@3,0.042167002281822595,0.042167002281822595,0.042167002281822595,0.042167002281822595,0.042167002281822595,0.042167002281822595,0.042167002281822595,0.042167002281822595,0.042167002281822595,0.042167002281822595
Recall@3,0.04785141093474427,0.04785141093474427,0.04785141093474427,0.04785141093474427,0.04785141093474427,0.04785141093474427,0.04785141093474427,0.04785141093474427,0.04785141093474427,0.04785141093474427
MAP@3,0.03059420928865373,0.03059420928865373,0.03059420928865373,0.03059420928865373,0.03059420928865373,0.03059420928865373,0.03059420928865373,0.03059420928865373,0.03059420928865373,0.03059420928865373
DCG@5,0.05566255298741091,0.05566255298741091,0.05566255298741091,0.05566255298741091,0.05566255298741091,0.05566255298741091,0.05566255298741091,0.05566255298741091,0.05566255298741091,0.05566255298741091
Recall@5,0.07693900646678424,0.07693900646678424,0.07693900646678424,0.07693900646678424,0.07693900646678424,0.07693900646678424,0.07693900646678424,0.07693900646678424,0.07693900646678424,0.07693900646678424
MAP@5,0.038387279541446204,0.038387279541446204,0.038387279541446204,0.038387279541446204,0.038387279541446204,0.038387279541446204,0.038387279541446204,0.038387279541446204,0.038387279541446204,0.038387279541446204
DCG@8,0.07420109758703582,0.07420109758703582,0.07420109758703582,0.07420109758703582,0.07420109758703582,0.07420109758703582,0.07420109758703582,0.07420109758703582,0.07420109758703582,0.07420109758703582
Recall@8,0.12850470311581422,0.12850470311581422,0.12850470311581422,0.12850470311581422,0.12850470311581422,0.12850470311581422,0.12850470311581422,0.12850470311581422,0.12850470311581422,0.12850470311581422
MAP@8,0.04828548105456174,0.04828548105456174,0.04828548105456174,0.04828548105456174,0.04828548105456174,0.04828548105456174,0.04828548105456174,0.04828548105456174,0.04828548105456174,0.04828548105456174
