,expomf,expomf,expomf,expomf,expomf,expomf,expomf,expomf,expomf,expomf
DCG@3,0.053230316991400344,0.05076431441690743,0.051146105176056424,0.053047410017612866,0.050769102254242034,0.051075922735591306,0.05197950291668695,0.05211722336808689,0.05048219403179936,0.0500303380367046
Recall@3,0.05738403880070546,0.0553531746031746,0.05524514991181657,0.05719885361552029,0.054575396825396826,0.05582539682539683,0.05622663139329805,0.056843915343915336,0.05458465608465609,0.05455996472663138
MAP@3,0.04376572604350382,0.04209700176366843,0.04241130217519106,0.043590314520870074,0.041918503821281594,0.04254813345091122,0.042879409171075834,0.04327601410934744,0.04234803057025279,0.04062735155790711
DCG@5,0.06030848293977436,0.05835365298532788,0.058987355950917295,0.060981290568555405,0.05927630344506989,0.05897116012102955,0.05888496065544662,0.058810310553738636,0.05811235686664864,0.05857320153474053
Recall@5,0.0724024103468548,0.07162154614932392,0.07199808935920046,0.0740814226925338,0.07277278071722516,0.07290241034685478,0.07095179306290418,0.07143018812463257,0.07095179306290418,0.07282524985302763
MAP@5,0.04841357289829512,0.04692957084068195,0.04760343915343915,0.048902821869488536,0.04726696796002351,0.047575455614344495,0.047374632569077015,0.04766614491475603,0.047077821869488536,0.04634294532627865
DCG@8,0.06623625981506526,0.06453037929626494,0.06502811699092151,0.06628698987536606,0.06509116591494794,0.06477239449133126,0.06543154645851477,0.06510324416237724,0.06443913368078522,0.0645908979448031
Recall@8,0.08865020576131687,0.0883724279835391,0.08847119341563785,0.08865637860082304,0.08868106995884772,0.08880452674897119,0.08898971193415638,0.08861934156378601,0.0882798353909465,0.08942181069958847
MAP@8,0.05200877425044092,0.05079002057613169,0.051313536155202816,0.052219032921810696,0.05085838477366255,0.05119575249853027,0.051416409465020574,0.05153265726043504,0.05098258377425044,0.04994575249853027
