,expomf,expomf,expomf,expomf,expomf,expomf,expomf,expomf,expomf,expomf
DCG@3,0.08182822218832622,0.08017229278924738,0.07951193963203829,0.081458803550601,0.07983861778654669,0.080834646895784,0.08268383325440384,0.0794660716820824,0.07908815713143683,0.08017652501910849
Recall@3,0.08885449735449735,0.08663536155202821,0.08487918871252205,0.08811552028218694,0.0852821869488536,0.08751984126984126,0.08849647266313934,0.08503835978835977,0.08528174603174603,0.08652910052910052
MAP@3,0.06754328336272782,0.06732010582010582,0.06733024691358024,0.06748023221634333,0.06657333921222809,0.06615307172251617,0.06900992063492063,0.0671793062904174,0.06709604644326866,0.06659391534391534
DCG@5,0.09402842689710086,0.09267227278449346,0.09319639669456707,0.09363492416830217,0.0931432303269705,0.09355656152032227,0.09443675991023398,0.09168615088255332,0.09186597566180796,0.09355847991992598
Recall@5,0.11514917695473251,0.11340402704291591,0.11415270429159317,0.11422986478542035,0.11400587889476776,0.11483788947677837,0.11362492651381541,0.11136875367430923,0.11244415049970607,0.11499838330393886
MAP@5,0.0756398368606702,0.0751938859494415,0.07612318489124044,0.07537123015873015,0.07483823486184597,0.07396042768959436,0.076346531452087,0.07475507054673722,0.0755625734861846,0.07526196355085245
DCG@8,0.10625034199617864,0.10494315445240217,0.10500188986672229,0.10656072366072555,0.10552772073236699,0.10550749479581203,0.10662616201853,0.10487424337938975,0.1052459054217355,0.10578939053809445
Recall@8,0.14908833039388594,0.14767342739564962,0.14702527924750147,0.14999265138154025,0.1483339212228101,0.1479203409758965,0.14756540270429158,0.14794062316284537,0.14935728982951205,0.1492629335684891
MAP@8,0.08275911543629798,0.08221572971781305,0.08294946355085245,0.08273564027462837,0.0822835532669858,0.08093504346182918,0.08354829826992526,0.08234311224489796,0.08298617672377592,0.08229661753590325
