,DCG@3,DCG@5,DCG@8,Recall@3,Recall@5,Recall@8,MAP@3,MAP@5,MAP@8
ip,0.0848991,0.0990144,0.1102306,0.0919489,0.1219472,0.1532362,0.0688645,0.0776238,0.0844668
wmf,0.0706269,0.0856153,0.0987544,0.0775232,0.1095496,0.1460133,0.0551776,0.0642394,0.0719272
expomf,0.0805059,0.0931779,0.1056327,0.0866632,0.1138216,0.148416,0.0672279,0.0753053,0.0825053
relmf,0.054611,0.0666916,0.0815352,0.0602821,0.0862085,0.1277253,0.0415551,0.0487138,0.0569399
bpr,0.0949956,0.1077615,0.1177939,0.1016314,0.1287381,0.1565561,0.0795355,0.0878005,0.0941267
ubpr,0.0515596,0.0643754,0.0803218,0.057176,0.0847333,0.1293423,0.0394421,0.0469898,0.0557041
dumf,0.0899037,0.1026194,0.1132664,0.0968296,0.1239262,0.1534638,0.0740963,0.0822975,0.0887953
dubpr,0.0506484,0.0641747,0.0800103,0.0564175,0.0854279,0.1296673,0.0388657,0.0467865,0.0555153
