,DCG@3,DCG@5,DCG@8,Recall@3,Recall@5,Recall@8,MAP@3,MAP@5,MAP@8
ip,0.0862577,0.1013389,0.1123533,0.0930307,0.1252317,0.1559946,0.0684772,0.0775876,0.0841031
wmf,0.072944,0.0880168,0.1012472,0.0801942,0.1123688,0.1491558,0.0567026,0.0658001,0.0734781
expomf,0.0827232,0.096527,0.1086019,0.0890827,0.1185986,0.1521747,0.0692435,0.0779075,0.084939
relmf,0.0555015,0.0678522,0.0827124,0.0615715,0.0880677,0.1295738,0.0419233,0.049238,0.0574949
bpr,0.0977837,0.1109769,0.1209427,0.1048897,0.1329263,0.1604625,0.0808982,0.0893701,0.0956082
ubpr,0.0529438,0.0665768,0.0825431,0.0584923,0.0878298,0.1324844,0.0406022,0.0486074,0.0573042
dumf,0.0912733,0.1045037,0.1153496,0.0987891,0.1269743,0.1570366,0.0747705,0.0832359,0.0897206
dubpr,0.0515563,0.0655035,0.0816738,0.0574516,0.0874286,0.1325528,0.0392328,0.0473061,0.0561319
