,DCG@3,DCG@5,DCG@8,Recall@3,Recall@5,Recall@8,MAP@3,MAP@5,MAP@8
ip,0.0389679,0.0502853,0.0578114,0.0437174,0.0681864,0.088713,0.0287925,0.0355946,0.0400423
wmf,0.0357449,0.0469982,0.0554949,0.0404177,0.064563,0.0878474,0.0259325,0.0326856,0.0375536
expomf,0.0514642,0.0591259,0.065151,0.0557797,0.0721938,0.0886947,0.0425462,0.0475153,0.0512263
relmf,0.033734,0.0447907,0.0539863,0.0383114,0.0621256,0.087275,0.024876,0.0314758,0.0366369
bpr,0.0474197,0.0577066,0.0633625,0.0522111,0.0742218,0.0895679,0.0377055,0.04409,0.0475839
ubpr,0.0334477,0.0448438,0.0541181,0.0378941,0.0623388,0.0877823,0.0242458,0.0310183,0.0362218
dumf,0.0446134,0.0549078,0.0613842,0.0494973,0.0715526,0.089208,0.0343729,0.0407056,0.0446038
dubpr,0.0332306,0.0445206,0.0538748,0.037796,0.0620907,0.0877394,0.0242607,0.0310338,0.0362509
