,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf
DCG@3,0.09035747818819646,0.08928139321842742,0.09012333956920504,0.09148907155899445,0.08714762965064408,0.0898038705992627,0.08936263331873603,0.09281646022030836,0.09307489757610567,0.0877065640894028
Recall@3,0.09774850838680627,0.0963694697737251,0.0962249990618785,0.10004690607527486,0.09397256932717925,0.09908533153214003,0.09621561784682352,0.10005722541183533,0.10019794363765995,0.09410390633794889
MAP@3,0.07444400665440853,0.07227694597670956,0.0743331519631756,0.07590278559545699,0.07220893216756101,0.07177817804295344,0.07322616858668868,0.07567779278772187,0.07526580109322425,0.07124892116026867
DCG@5,0.10342896456910108,0.10225475261326492,0.1040038768246771,0.10401745298314344,0.10098081983513695,0.10299849973066193,0.1025562634763016,0.10695801069351411,0.10642985794212975,0.1033229978155129
Recall@5,0.1253855679387594,0.12385267739877667,0.12598690382378325,0.12692877781530262,0.12320912604600547,0.12698506510563248,0.12431235693647039,0.13016998761679613,0.12864647829186837,0.12737532365191942
MAP@5,0.08220621161519506,0.08046604312857268,0.08308699826134815,0.08386011982938697,0.08077956333570992,0.07995109259884674,0.08152737125845874,0.08462156178468236,0.08402260247413912,0.08089023040264175
DCG@8,0.11488799512430017,0.11394807145041164,0.11430180999169735,0.11524615599008181,0.11247579389820525,0.11169584963703467,0.11444368017980135,0.11623137278234191,0.11735056152712121,0.11530955196282551
Recall@8,0.15710157979661524,0.1563989267889977,0.15470467935006943,0.15795527036661788,0.1550658561296859,0.1512242485646741,0.15700307703853802,0.15562403842545686,0.1591373034635446,0.16035217081316375
MAP@8,0.08921083543740585,0.08740771229689669,0.08922798072473014,0.09051568427476059,0.08746522584605157,0.08548970612673752,0.08863495391589786,0.09037580365742305,0.09047941917770523,0.08793116734479449
