,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf
DCG@3,0.08956492402621828,0.08756943940202772,0.08954395547926904,0.09015466039107459,0.08844754036844082,0.09010501012841195,0.08833323545120099,0.08982033343178486,0.08923680090508107,0.08860491866841402
Recall@3,0.0961168430335097,0.09461507936507936,0.09633215755437977,0.0969758965314521,0.09505614344503231,0.09786552028218695,0.0950952380952381,0.0962389770723104,0.09633597883597883,0.09486067019400353
MAP@3,0.07391681363903585,0.07229930922986479,0.07456699490495787,0.07508014893200078,0.0729296002351558,0.07373228982951205,0.07280717225161669,0.07424926513815402,0.07285192533803644,0.0725432098765432
DCG@5,0.10227825313772565,0.10026702961056312,0.10258372495698698,0.10278990386364542,0.10190613446282365,0.10263398500658455,0.10033344442969043,0.10447631143028763,0.1023629855501918,0.1031765857967286
Recall@5,0.12314888300999412,0.12158921222810111,0.12425382128159905,0.12395884773662551,0.12356554967666078,0.12435126396237509,0.12048118753674308,0.12777233980011757,0.12421237507348618,0.12588653733098176
MAP@5,0.08192402998236331,0.08041938565549676,0.08289154663923183,0.0830796345287086,0.08158199588477366,0.08171402116402117,0.08064058641975308,0.08338716931216932,0.08143323780129336,0.08177686654908876
DCG@8,0.11343594566599098,0.11177077855349686,0.11333305008509291,0.11325698560429777,0.11260523159302428,0.11190678252978879,0.11176635688106314,0.11402796015821973,0.11367961041559561,0.11396400175381713
Recall@8,0.1540047031158142,0.15348794826572604,0.1539830981775426,0.15294165196942977,0.15330584950029394,0.1500867136978248,0.15219782480893593,0.15418856554967666,0.15581643151087596,0.1557256025867137
MAP@8,0.08875091315332719,0.08741294249181153,0.08946735376249265,0.08961752015621062,0.08801018501021807,0.08761342207664957,0.08762164273116653,0.08938975270149212,0.08818453518238571,0.0883514034111587
