,DCG@3,DCG@5,DCG@8,Recall@3,Recall@5,Recall@8,MAP@3,MAP@5,MAP@8
wmf,0.0407547,0.0551166,0.0749131,0.0452911,0.0760799,0.1311491,0.0304763,0.0386349,0.0491845
expomf,0.0740354,0.086314,0.1005771,0.0800308,0.1066704,0.1465389,0.0620219,0.0696984,0.0775856
relmf,0.0443114,0.0600945,0.0775932,0.0501901,0.083999,0.1327267,0.0320728,0.0411957,0.0507518
