,DCG@3,DCG@5,DCG@8,Recall@3,Recall@5,Recall@8,MAP@3,MAP@5,MAP@8
wmf,0.0329154,0.0439223,0.0537444,0.0386001,0.0623746,0.0891872,0.0230703,0.029678,0.0350951
expomf,0.0513869,0.0602005,0.0654937,0.0559427,0.0748129,0.0892274,0.0422421,0.0477523,0.0511275
relmf,0.0338605,0.0456701,0.054623,0.0384731,0.0637632,0.0883158,0.0247046,0.0317317,0.0367538
