,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr
DCG@3,0.04939106557589108,0.046625360040794185,0.05087297456566182,0.04930849364268999,0.0482939790123476,0.046623680296713405,0.04976890304335144,0.04779100680261435,0.04768746422685019,0.04853713851179646
Recall@3,0.05358465608465608,0.052082598471487364,0.0552852733686067,0.05306922398589065,0.05267210464432687,0.05091181657848324,0.05442724867724868,0.05210420340975896,0.053208112874779535,0.053017783656672535
MAP@3,0.03929453262786596,0.0369946355085244,0.04136243386243386,0.03968702233980012,0.039177077209484615,0.036256981187536744,0.04018342151675485,0.03842090436997844,0.03856819517930629,0.039102488732118364
DCG@5,0.0585426763173518,0.05551421577250606,0.05978992843983888,0.05829447548721788,0.05732366903020428,0.0557228341927491,0.058878533896815216,0.05704627719525726,0.05618246962696873,0.0580683385487142
Recall@5,0.07315858318636097,0.07110405643738976,0.07423883009994121,0.07232216343327454,0.0721904761904762,0.07014932392710171,0.07385302763080541,0.07184479717813051,0.07140549676660787,0.07330467372134039
MAP@5,0.045070465902410345,0.04241763668430335,0.046893614050558495,0.04553409758965314,0.04478634381736234,0.042078439153439146,0.04601876837154614,0.04436149813834999,0.04400261610817166,0.04522440966098373
DCG@8,0.06468230877766984,0.06218327114346322,0.06542906138058247,0.06428621678255084,0.06351950133768372,0.06259507819870355,0.06456000519223763,0.06298949604746834,0.06249032499339664,0.06393400601272232
Recall@8,0.08987037037037036,0.08916666666666667,0.08947427983539094,0.08857407407407407,0.08903703703703703,0.0889588477366255,0.08930864197530863,0.08819753086419753,0.08858230452674896,0.0892469135802469
MAP@8,0.04871460905349794,0.04646513325494807,0.05039963991769547,0.0491466049382716,0.04867150940623162,0.046073625808348034,0.04946732804232804,0.047979982363315694,0.04774512051734274,0.04870892857142857
