,DCG@3,DCG@5,DCG@8,Recall@3,Recall@5,Recall@8,MAP@3,MAP@5,MAP@8
ip,0.0854458,0.1109223,0.1343302,0.0969048,0.152645,0.2177915,0.0694349,0.0853155,0.1028948
wmf,0.1085625,0.130159,0.1531819,0.1173292,0.1637775,0.2277927,0.0932978,0.107259,0.1223129
expomf,0.0865942,0.106924,0.1269105,0.0939856,0.1377351,0.1932206,0.074343,0.0876369,0.1005059
relmf,0.1088888,0.1300981,0.1532777,0.1178465,0.1634327,0.2277927,0.0935277,0.1072073,0.1223929
bpr,0.1076595,0.1262924,0.1463895,0.1177681,0.1579688,0.213767,0.0906881,0.1030587,0.1157458
ubpr,0.1053239,0.1264083,0.145513,0.1149221,0.160295,0.2134052,0.0888344,0.1027235,0.1153774
dumf,0.1132839,0.1381634,0.1583626,0.1225978,0.1754158,0.2313768,0.0954543,0.1126013,0.1258048
dubpr,0.103779,0.1222408,0.1424604,0.1141316,0.1536935,0.2100528,0.0864087,0.0990425,0.112069
