,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf
DCG@3,0.09131203455772324,0.09128926237684876,0.08871155563414722,0.09167984670627949,0.08950182502590615,0.09143512075018287,0.0940784295611707,0.09064672043180787,0.09222235959825005,0.09185614066638512
Recall@3,0.09932455251604187,0.09967259559458141,0.09554861345641487,0.09984990055912041,0.09702615482757325,0.09922604975796465,0.10030958009681414,0.0982316409621374,0.09967259559458141,0.09902904424181021
MAP@3,0.0750709845272493,0.07414396412623363,0.07293675810224273,0.07433768621711884,0.0744057000262674,0.07408361164271329,0.07725446233129447,0.07544466959360575,0.07521107733873691,0.0748161281849225
DCG@5,0.10480399022700071,0.1033353477904036,0.10273504426219734,0.10355060668050146,0.10218989159408802,0.10515930947798288,0.10636440280389647,0.10533636312750035,0.10536733507799599,0.10619445104629988
Recall@5,0.12811081091222934,0.1254287215280123,0.12560227400652932,0.12509005966452774,0.12414818567300835,0.12830781642838376,0.12624957784532254,0.1292703290930241,0.12784813689069008,0.12968685504146496
MAP@5,0.08368664552766207,0.08180442980974896,0.08231867674834578,0.08211138316634771,0.08243883447784157,0.08287451374035298,0.08521536142694536,0.08453717775526286,0.08348221321625576,0.08389006154077075
DCG@8,0.1149457203765601,0.11383335497022888,0.11331109951263064,0.11567181981992829,0.11318037117055924,0.1147121613511729,0.11857813508772408,0.1154468620107082,0.11696684694641324,0.11684937166628669
Recall@8,0.1560508837104582,0.1548557169124545,0.1549673533716087,0.1584806184096964,0.15477034785545424,0.15483601636083905,0.1599253255281624,0.1574496228751548,0.16002382828623962,0.15900596645277496
MAP@8,0.08986806772879889,0.08822576541780358,0.08854911579814484,0.0893990069760502,0.08880725556574087,0.08854465972099372,0.0925688100956169,0.09075424857360859,0.09032931080233511,0.09015943263304797
