,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf
DCG@3,0.044645534125957245,0.042246463559433886,0.042149741095048966,0.045685113908985595,0.04341627023684062,0.0471105995548594,0.04316863253270324,0.045469376785492135,0.044323108549601524,0.047918998382912824
Recall@3,0.04906922398589066,0.04673280423280424,0.04667519106407995,0.04998691945914168,0.04882642563198119,0.05200132275132274,0.04720502645502645,0.05067107583774251,0.05002601410934744,0.053779100529100524
MAP@3,0.03512426513815403,0.03261552028218695,0.03239072604350381,0.034965657456398194,0.033400328238291206,0.03507796884185773,0.033659244562022336,0.03553270135214579,0.034655643738977074,0.036307392710170486
DCG@5,0.05540689756344451,0.053655751170451446,0.05287932699913624,0.0551047594712502,0.05385525413344349,0.05644483795999644,0.054561471736986285,0.05597423070404142,0.053906858110003605,0.057288507306038135
Recall@5,0.07210714285714284,0.07102278071722516,0.06974911816578483,0.07018121693121693,0.07136022927689593,0.07198985890652557,0.07165652557319224,0.07307216343327455,0.0706410934744268,0.07374603174603174
MAP@5,0.04170307907113463,0.039567688124632565,0.039055239564961784,0.04104128208896727,0.0397569713893788,0.04081604203409759,0.040420002939447384,0.04179736919459141,0.04065992063492064,0.042238109935332155
DCG@8,0.061530793806241754,0.060377218854637774,0.06004231426354137,0.06211637019373433,0.06016085323269058,0.06280783943912184,0.06093858773150232,0.062049200107041125,0.06092798211599626,0.06289123223725374
Recall@8,0.0887746913580247,0.0893611111111111,0.08919135802469136,0.08923765432098765,0.0885895061728395,0.08954012345679012,0.089,0.08974691358024692,0.08960185185185185,0.08903703703703703
MAP@8,0.045484592396629435,0.04348339947089947,0.043200031844013324,0.04511532554379776,0.04357166372721928,0.04471178963354889,0.04428797276112091,0.04572564667842445,0.044728728199098566,0.04572927934548305
