,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf,dumf
DCG@3,0.09044082377341223,0.08828392803711368,0.08702172865253474,0.09171952201411254,0.08786031641961925,0.09227880641305695,0.09109591204507694,0.09007892203549964,0.08848854913088572,0.09176853399083472
Recall@3,0.0977279541446208,0.0950163139329806,0.09356540270429159,0.09897589653145208,0.09477219282774837,0.09941622574955908,0.09768298059964725,0.09724823633156966,0.09524029982363315,0.09865079365079367
MAP@3,0.0742876249265138,0.07321788653733098,0.0724208553791887,0.07556574563981971,0.07263886439349401,0.07547119341563786,0.07523493533215754,0.07496119929453263,0.07269760435038213,0.07446671075837742
DCG@5,0.10251951191966087,0.10136364219753348,0.10040972400015842,0.10283261603514461,0.10076788043511752,0.10500035701408976,0.10258122406620704,0.1039248223749175,0.10170766166216072,0.10508666204871021
Recall@5,0.12348838918283363,0.12310773074661964,0.1221687242798354,0.12273971193415636,0.12237595532039976,0.1264544385655497,0.12187110523221634,0.12651513815402704,0.12351131687242799,0.1270298353909465
MAP@5,0.08219287918871251,0.08153456790123458,0.08114930922986478,0.08292027973740938,0.08086575298843816,0.08383381099353322,0.08268767636684303,0.08360409318048206,0.08111956937095825,0.0830666593180482
DCG@8,0.11347516414624313,0.11199671748723876,0.11112530520639351,0.11372945857167001,0.11184921789828092,0.11445140676335215,0.11371416412373121,0.11408572357135997,0.11311207434651703,0.11512448009711593
Recall@8,0.15387375073486187,0.15268547912992356,0.15186272780717225,0.1529046149323927,0.1530898001175779,0.15269914756025868,0.1527423574368019,0.15473177542621985,0.15526704879482656,0.15478115814226923
MAP@8,0.088704139196831,0.08809829092130679,0.08779087074130064,0.08961202706391198,0.08748421621735113,0.08952030405783712,0.08959454137622126,0.08996973943898547,0.08784695749699056,0.08933165399904817
