,wmf,wmf,wmf,wmf,wmf,wmf,wmf,wmf,wmf,wmf
DCG@3,0.0890588661121421,0.09001878371985808,0.09096084747560103,0.09100378786759845,0.08949462234742646,0.08952542514967979,0.08952902693293126,0.0898352969577549,0.08874331637464675,0.08882100001290265
Recall@3,0.09673280423280424,0.09702292768959435,0.09784082892416227,0.09868342151675485,0.09684391534391536,0.09590696649029982,0.09606613756613755,0.09670502645502645,0.09564770723104057,0.09615358612580836
MAP@3,0.07268547912992357,0.07376006760728981,0.07503733098177542,0.0740080099941211,0.07271942974720753,0.07378968253968253,0.07514844209288654,0.07454659024103469,0.07298618459729571,0.07305121987066432
DCG@5,0.10190069640182273,0.102566764233973,0.10350461915084797,0.10321725946990028,0.10212707799599162,0.1031437205639099,0.10271161403028423,0.10238172487978567,0.10348560178227487,0.10248448889131768
Recall@5,0.12387492651381539,0.1238124632569077,0.12443048206937095,0.12471061140505585,0.12397163433274544,0.12471884185773076,0.12407378012933569,0.12322810111699,0.1271056731334509,0.124858759553204
MAP@5,0.08109997795414461,0.08187804967666079,0.0830692680776014,0.08189765579071134,0.08075389476778365,0.08232777042915931,0.08355110229276895,0.08256823192239858,0.08232344944150499,0.0817292328042328
DCG@8,0.11250489030073393,0.11263938309243898,0.1142794530193802,0.11259826243929777,0.11263261564633695,0.11272419539390784,0.11278737334190707,0.1128377824125673,0.11310585257619207,0.11257505472750036
Recall@8,0.15315902410346857,0.1517502939447384,0.15449235743680187,0.15075338036449146,0.1533367136978248,0.15129174015285127,0.1522502939447384,0.15218856554967664,0.1537935038212816,0.15271766607877718
MAP@8,0.0875660194633409,0.08812516884325747,0.08979124359620391,0.08782670837882478,0.08722021797402088,0.088320419186193,0.08972682350718064,0.08903564604854287,0.0883726965580471,0.08804779891380421
