,wmf,wmf,wmf,wmf,wmf,wmf,wmf,wmf,wmf,wmf
DCG@3,0.04303536877601241,0.043907056992039666,0.04390961916991671,0.04488018403356305,0.043222729695291506,0.0444505801668523,0.04341366021169361,0.04624099632833829,0.046331922701497476,0.04548968638625277
Recall@3,0.04821428571428572,0.0479673721340388,0.048729717813051146,0.04916490299823632,0.048272927689594354,0.048794532627865955,0.048245149911816575,0.05180379188712522,0.052103174603174596,0.05124309229864785
MAP@3,0.03353835978835979,0.0350352733686067,0.03418239271017049,0.035613977072310406,0.03351984126984127,0.03485266019988242,0.03403012933568489,0.03556562316284538,0.0364756025867137,0.034506981187536735
DCG@5,0.05384326134344436,0.05433454541867075,0.054401321350714835,0.05399364216992787,0.05370068713546339,0.053623509514702766,0.05314979824589161,0.05545853002865221,0.05586176117264709,0.05478892439465792
Recall@5,0.07118636096413875,0.07022442680776014,0.07145796590241035,0.06879232804232804,0.07053306878306877,0.06837771898883009,0.06922648442092885,0.07169870664315109,0.0725299823633157,0.07125220458553792
MAP@5,0.04031629923574368,0.04130117577895356,0.04066604203409759,0.041380599647266314,0.03999140211640211,0.04072504409171076,0.0402157848324515,0.041263932980599646,0.04250071281599059,0.040429519400352734
DCG@8,0.060249598078406394,0.06117454906274643,0.0607448137021017,0.06117683798833845,0.06030408595932827,0.06089315489078291,0.06027969072860521,0.06182729069671152,0.06186131196542994,0.061103940933841916
Recall@8,0.08866666666666666,0.08889814814814814,0.08875925925925925,0.08840432098765431,0.0885895061728395,0.08828086419753085,0.08857407407407407,0.08908333333333332,0.08900617283950617,0.08855864197530863
MAP@8,0.044144966196355086,0.04533088869292574,0.044540821575543794,0.04565377229080932,0.04387715559474819,0.044889469429747204,0.04430360082304527,0.04518864638447972,0.04611195865177347,0.044209269057417205
