,wmf,wmf,wmf,wmf,wmf,wmf,wmf,wmf,wmf,wmf
DCG@3,0.08530175926170583,0.08388670027353338,0.08749883913466187,0.0891961504571974,0.08524946872570023,0.08864981320151584,0.08622271584360147,0.08575500025897215,0.08781977698626023,0.08529322724347754
Recall@3,0.09185758377425043,0.08999029982363316,0.09439021164021164,0.09530202821869489,0.0920599647266314,0.09439638447971782,0.09309700176366843,0.09266622574955909,0.09492416225749557,0.09137404467960024
MAP@3,0.07010655496766607,0.06964873603762492,0.07179453262786596,0.07300418871252205,0.07058619929453262,0.07306305114638448,0.0720327013521458,0.07181437389770723,0.07230224867724867,0.07122572506368802
DCG@5,0.09811252284100247,0.09685488337407046,0.09966193112016791,0.10224934371783413,0.09831972158608959,0.10031001703329687,0.0980973987938669,0.09912182683030386,0.10010223161253472,0.09936603172561016
Recall@5,0.11909847148736036,0.11765814226925339,0.12043974132863022,0.1233070252792475,0.11984950029394474,0.11935155790711346,0.11841504997060552,0.12086390358612581,0.12133480305702526,0.12173706643151086
MAP@5,0.0783588844797178,0.07798991034685479,0.07979236478542034,0.08137953409758965,0.07907553644914755,0.08061370517342739,0.07987138447971781,0.08036295561434449,0.08026659318048207,0.08001912600431119
DCG@8,0.10985077438730202,0.10878429677441444,0.11058205207492647,0.11244632093900091,0.10915640305692825,0.11108808320242008,0.11000952350429288,0.11042658343469873,0.11106945387336088,0.1099615059865035
Recall@8,0.15159420928865375,0.1508199588477366,0.15060728982951205,0.15165152851263963,0.15004967666078778,0.14932569077013522,0.15147692533803644,0.15221531452087006,0.15174544385655495,0.1511841563786008
MAP@8,0.0854732631015369,0.08499426265362112,0.08643373383303937,0.08759408226253464,0.08570205428879371,0.08698856345007139,0.08710984452422944,0.08716322541362223,0.08704874863525658,0.08659278890568574
