,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr
DCG@3,0.10387353375630963,0.11054378754118821,0.10414814599346685,0.1162206946460883,0.09813094853677531,0.0995114314519024,0.11879861333656457,0.10552989445696087,0.10226410793425111,0.10995218272695861
Recall@3,0.1101464148877942,0.11649698960043788,0.11422687465790912,0.12684181718664478,0.10526135741652982,0.10425561029009303,0.13069239189928847,0.11569649698960043,0.11468664477285168,0.1212096332785988
MAP@3,0.09225871191388432,0.0945589308520343,0.08798804962598067,0.0960976555373107,0.08659916073709177,0.09043057836161283,0.1027232713008575,0.08473271300857507,0.09105797299762816,0.09386311804415252
DCG@5,0.12719701080036036,0.13765021319669463,0.12305907640268483,0.13440120285432405,0.12272032437348608,0.1167494207650959,0.13521183406928253,0.13233963848664287,0.11676471306245105,0.13244369279614968
Recall@5,0.1595238095238095,0.175719759168035,0.1542214012041598,0.16674603174603173,0.1579666119321292,0.14103174603174604,0.1655719759168035,0.17396278051450464,0.14564860426929394,0.1695087575259989
MAP@5,0.10802020616675788,0.11348387611749679,0.10050310162379128,0.1087116402116402,0.10202321656632,0.1039345466155811,0.11458643495712462,0.10185531837255976,0.10164007480386789,0.10927800583835066
DCG@8,0.14750228323943348,0.15858125519939892,0.14110338308611658,0.15746938132739913,0.13997028213805068,0.14564401903706917,0.14760117468568404,0.149785789505473,0.1434779323231993,0.15186402522536693
Recall@8,0.21628489326765188,0.23466064586754243,0.20548029556650246,0.2299767378215654,0.2057991242474001,0.22162972085385876,0.19987137383689108,0.22220853858784892,0.2203598795840175,0.22280788177339902
MAP@8,0.12056405081189565,0.12602245093439673,0.11283975323846014,0.12481582805536007,0.11465115854771027,0.1219334779888967,0.1242351076445904,0.1136473531941512,0.11775454166340864,0.12181609195402299
