,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf
DCG@3,0.1162519656840751,0.11261279141868104,0.10361354957867676,0.11477292524532934,0.1114055674862979,0.11368943301012152,0.10767688822654774,0.098734490116942,0.11377758446224853,0.10956515141837309
Recall@3,0.12776546250684181,0.12431718664477284,0.11299534756431308,0.1316406677613574,0.12526135741652983,0.12034209085933224,0.11414066776135741,0.10753147235905856,0.12272304324028463,0.12049534756431307
MAP@3,0.0928217934683452,0.09593960956029922,0.08896916621054551,0.09644248312351761,0.09508438241196863,0.09367747673782156,0.08884190841087393,0.0866217387338077,0.09902549717204889,0.09698846013501185
DCG@5,0.14214494374518855,0.1297016990141201,0.12725223946158223,0.1392924792942247,0.13620449288305939,0.1439972188762545,0.13007887573634933,0.12390355274786122,0.14102828174914045,0.12901597086571895
Recall@5,0.18411056376573617,0.16128899835796387,0.16264915161466884,0.18427476737821563,0.17792829775588395,0.1863136288998358,0.16194581280788178,0.16086754241926654,0.1813464696223317,0.16252052545155993
MAP@5,0.11047477650063856,0.10746752417442071,0.10749242838898011,0.1134961229702609,0.11072628170041963,0.11488362068965516,0.10514055373107097,0.10435107644590404,0.11703295475278232,0.11049584929757342
DCG@8,0.16797394328090043,0.1493993597193886,0.14625386797046888,0.15776694530490049,0.1561060652496631,0.15944221378678633,0.15172026820140133,0.15101914452214218,0.15933135021569203,0.14721673510021466
Recall@8,0.2560550082101806,0.21537356321839077,0.21559386973180078,0.2350205254515599,0.23190749863163654,0.22942118226600985,0.22164340448823205,0.23552681992337166,0.23203612479474547,0.2130760810071155
MAP@8,0.12603848522167488,0.12162256789689056,0.11977925691349336,0.12684678076211325,0.12438699598613391,0.12509201103813175,0.1191299033023171,0.12161018746579091,0.12964709906951286,0.12227666028097064
