,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf,relmf
DCG@3,0.08906014301593385,0.08444897625326221,0.0891604858374506,0.08958812179653355,0.0867539431421244,0.088836523936183,0.08563832253908202,0.08967759973503028,0.08654725849047092,0.08991340054188554
Recall@3,0.09508465608465608,0.09061067019400353,0.0950270429159318,0.09632951205173428,0.09369885361552027,0.09547045855379188,0.09182231040564373,0.09570943562610229,0.09297045855379188,0.0963833039388595
MAP@3,0.0744864050558495,0.06981900352733686,0.07312169312169312,0.07401058201058201,0.07186552028218694,0.07394165196942974,0.0713531746031746,0.0748179747207525,0.07210780423280422,0.07376268861454047
DCG@5,0.10181445376439881,0.09754308021522526,0.1021116958604322,0.10180080730864594,0.09964036279783278,0.10029942262056966,0.09973082382138132,0.10248015881662927,0.10049287314327927,0.10147742085241294
Recall@5,0.1223422986478542,0.11892357436801881,0.12259332745443856,0.12237595532039976,0.12140681951793061,0.11971193415637858,0.12180658436213992,0.12276484420928865,0.12285743680188124,0.12094694297472074
MAP@5,0.08278772045855379,0.07818045267489712,0.0814623162845385,0.08185579071134626,0.08018486184597295,0.0816975896531452,0.080359670781893,0.08313400940623163,0.0810281231628454,0.08137923770331178
DCG@8,0.11287925362799746,0.10940813173589374,0.11290811024102422,0.11273177831801345,0.11029700235346557,0.11158341517594446,0.11078729502096286,0.11280629323350147,0.11097237014461084,0.11263598958548467
Recall@8,0.15303556731334508,0.1518830099941211,0.15243371546149323,0.15273662551440328,0.15087683715461492,0.1512176660787772,0.15291387419165198,0.15145267489711933,0.15186890064667843,0.1519182833627278
MAP@8,0.08940737433862435,0.08534425163069342,0.08815950946222109,0.08865953885669495,0.08673891705859298,0.08843903726099495,0.08695540228437054,0.08932574623470788,0.08729972110243274,0.08809995958259846
