,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr
DCG@3,0.03296675411122325,0.03502091177020336,0.033501227931336405,0.033260276246989046,0.031213275258688007,0.030449394252930306,0.033285090675891096,0.034320798257196215,0.033178740942183,0.03510931403549211
Recall@3,0.03719679600235156,0.04047663139329805,0.03758774250440917,0.03839021164021164,0.03585111699000588,0.03435934744268077,0.03760626102292769,0.03875132275132275,0.037748236331569665,0.03999206349206349
MAP@3,0.024386439349402315,0.025124265138154023,0.02487169312169312,0.024066651969429746,0.022583455810307664,0.022574368018812463,0.024597516166960612,0.024747207524985302,0.02467313345091123,0.024981775426219873
DCG@5,0.04354719443160116,0.04583098659290656,0.04436598271854182,0.04366617766164746,0.04384984379838521,0.04233258090129865,0.044456022979737886,0.045754630488619,0.045626294736793846,0.0457758102594129
Recall@5,0.060008377425044085,0.0639888300999412,0.060991916519694295,0.060624632569077005,0.06284171075837743,0.060143151087595534,0.061746031746031736,0.06316784244562022,0.06444253380364491,0.06295179306290417
MAP@5,0.030779810895551638,0.031713007054673725,0.03140179306290417,0.03037962228101117,0.030111858220654517,0.029454776601998824,0.03126264697236919,0.031661258083480304,0.03202807907113463,0.03154490005878895
DCG@8,0.05352867175989108,0.054813814317423847,0.054048156877592755,0.05344560897465141,0.05325171295527603,0.05221595832231521,0.053917014311151194,0.05488028313108424,0.05406716748665752,0.054580038878423026
Recall@8,0.08742283950617284,0.08863168724279835,0.08745679012345679,0.08741049382716048,0.08865123456790124,0.08719135802469134,0.08775617283950617,0.08817592592592592,0.08759567901234568,0.08710185185185185
MAP@8,0.03627193562610229,0.036826690182245735,0.0367270796590241,0.03584975014697237,0.03525385802469135,0.035009670781893,0.03658536767587693,0.03674664902998236,0.036778336272780716,0.03645980305702528
