,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr,dubpr
DCG@3,0.04976620713840219,0.05249651998139905,0.05640902483202097,0.049836077990768564,0.05187445941174875,0.05148188571171046,0.04896503421563621,0.04811545975465107,0.04887234911475285,0.04866706417496634
Recall@3,0.055046884185773075,0.05885934744268077,0.06156261022927689,0.05655202821869489,0.05703894767783657,0.05707451499118166,0.05467857142857143,0.05366887125220459,0.05515299823633157,0.0545405643738977
MAP@3,0.038818391142465214,0.04071068489124044,0.042463771310993534,0.03795848030570253,0.03969772682735646,0.0402010582010582,0.037707965902410344,0.03596399176954732,0.03761970899470899,0.03751491769547324
DCG@5,0.06361717400084417,0.06554292132633811,0.06961064823661789,0.0624596551056891,0.06519565463218721,0.06429783173160777,0.06302240427867215,0.06254927268297004,0.06377969334490691,0.06167160016815253
Recall@5,0.08485258671369782,0.08699044679600236,0.0897876249265138,0.08367254556143444,0.08550029394473839,0.08455922986478542,0.08489579659024103,0.08436963550852439,0.08722721928277483,0.08242342739564962
MAP@5,0.04688317656280619,0.04837970311581422,0.05005104350382128,0.045494804526748964,0.047636894963746804,0.04767355967078189,0.04590443121693121,0.044527586713697824,0.046138815402704286,0.04517524985302763
DCG@8,0.07910437040035923,0.08159431862703263,0.08407968443206505,0.07730295982470604,0.0813112082173901,0.0804418407700035,0.07861328350628975,0.07940433692167169,0.08025898980874568,0.07799182601940115
Recall@8,0.12852498530276307,0.13169370958259846,0.13010479129923574,0.1252388300999412,0.13037198706643152,0.12954129923574367,0.12832524985302762,0.13138256907701354,0.13345487948265727,0.12803512639623751
MAP@8,0.05534829249601074,0.057294695347274716,0.0582184529058537,0.05347544091710758,0.056573742336440754,0.05665588361887964,0.05450563831499678,0.053746200239355,0.055110885403544134,0.05422409454522549
